Point Arrangement,Volume Convex,Triangle Size,Extnesion,Spread,Limit,Symmetry1,Symmetry2,Orientation,Orthonormal,Volume,Volume,Epsilon,Energy
0.707278802,0,0.000151506,0.0040835,0.480901407,0.584841374,7.20E-05,7.30E-05,-62.09237935,-0.968808252,9.92E-05,0.000244,0.00924,98.8309
0.537190806,0,0.000253347,0.276696508,0.495225352,0.356294872,5.86E-05,2.98E-05,-44.88443272,-0.102695049,8.79E-05,0.000308,0,105.2097
0,0.050625508,8.65E-16,0.153523504,0.337661958,0.611791612,7.66E-05,6.24E-05,37.32632463,-0.987713789,1.63E-16,0.000589,0.0194,99.1637
0,0.08020575,3.41E-15,0.457579515,0.495225352,0.404890182,7.05E-05,5.62E-05,-35.06877039,0.037412157,4.03E-16,0.0014,0,112.9604
0.720927933,0,0.000157072,0.055419501,0.480901407,0.560437616,6.75E-05,7.25E-05,34.83754496,-0.859581576,8.79E-05,0.00111,0,108.085
0.74382813,0,0.000172195,0.006306,0.476126759,0.554495831,7.44E-05,9.82E-05,-40.17698708,-0.827774965,9.73E-05,0.000549,0.00086,93.5193
0.986777373,0,0.000729103,0.380415512,0.211422596,0.403404736,3.89E-05,6.54E-05,40.06951126,0.002678018,0.000217859,0.00353,0,91.1478
0,0.048337698,2.42E-15,1.054594534,0.230521189,0.480011316,8.89E-05,5.25E-05,-84.80982846,-0.682498495,2.36E-16,0,0,63.6434
0,0.064261788,1.31E-15,0.002238,0.209524935,0.683093027,3.50E-05,5.34E-05,-67.39363213,-0.939683135,2.00E-16,0.000398,0,93.5735
0,0,0,0.547570516,0.249338523,0.489560613,1.04E-05,6.25E-05,40.00084231,-0.990267532,0.045706131,0.00228,0,91.5921
0.952190728,0,0.000121763,0.061348502,0.245911674,0.797047968,3.27E-05,1.76E-05,-44.99998861,-0.10452985,9.65E-05,0.000389,0.0362,102.2742
0,0.068000328,1.35E-15,0.751005525,0.489385126,0.51969395,1.53E-05,2.84E-05,76.44266627,-0.999999996,5.86E-17,7.99E-05,0.00498,83.0878
0,0.067817137,1.50E-15,0.750091525,0.490555269,0.518845123,3.71E-05,3.23E-05,70.81114637,-0.999999999,4.79E-16,8.09E-05,0.0102,110.1353
0.78704458,0,9.25E-05,0.011409501,0.492226903,0.764155946,2.50E-06,0.000101939,-15.00008897,-0.898793578,6.26E-05,7.98E-05,0,94.2184
0.824406681,0,0.000120546,0.247473509,0.201877211,0.799170034,1.37E-05,2.55E-05,44.99997147,-0.500000683,7.13E-05,0.000411,3.38E-18,95.4068
0,0.089466237,8.59E-16,0.864516528,0.497492549,0.555556864,1.78E-05,1.58E-05,-80.00009173,-0.978147096,7.27E-17,0,0,87.5134
0.79710222,0,9.40E-05,0.230608507,0.206850321,0.839701493,1.39E-05,2.39E-05,64.96343876,-0.990252898,5.71E-05,0.00175,0.0379,84.1031
0.796604612,0,6.94E-05,0.0070685,0.5,0.780283646,1.52E-05,1.15E-05,-49.99997509,-0.438371429,5.25E-05,0.000799,0.0213,97.5969
0.775459885,0,7.17E-05,0.0014315,0.495904497,0.792803836,2.75E-06,1.67E-05,-49.99804239,-0.052327659,6.16E-05,0.000858,0.0223,103.9988
0,0.093483098,1.43E-15,0.782421525,0.305672579,0.529455453,2.25E-05,2.77E-05,-50.00695027,-0.998629134,6.18E-16,0,0,88.7015
0,0.069858131,1.87E-15,0.519219518,0.24692774,0.431416006,7.02E-06,7.02E-06,-37.23018444,-0.9986294,6.39E-16,0,0,85.5989
0.608746684,0,0.000150387,0.295086511,0.24199642,0.762246087,2.28E-05,9.92E-06,50.00009021,-0.642788097,4.31E-05,0.00306,0,76.2942
0.000973244,0,2.70E-08,0.000216,0.977766004,1.152281806,3.58E-05,2.79E-05,49.99949923,0.017450101,1.90E-08,0.0034,0,121.22687
0.017361139,0,8.35E-07,0.0015855,0.834757739,0.635346544,3.84E-05,2.38E-05,30.00574854,-0.89100151,2.56E-09,0,0,93.3497
0.655343377,0,9.42E-05,0.246426007,0.160999971,0.773493036,6.34E-05,1.32E-05,-0.363925826,-0.61206228,1.13E-05,0.000901,0,89.5056
0.290207436,0,1.26E-06,0.0037635,0.175323916,0.944743757,8.11E-05,3.43E-05,40.20350446,-0.669521948,4.36E-07,0.000222,0,81.0085
0,0.075527716,1.99E-15,1.187946146,0.170549268,0.903885694,0.000102255,6.08E-06,-20.22141721,0.294122144,2.02E-17,0.00253,0,78.8504
0,0.073238046,2.39E-16,0.523503515,0.366309848,0.91779352,8.01E-05,2.52E-05,50.44710575,0.379619773,4.13E-17,0.000298,0,100.7692
