Point Arrangement,Grasp Triangle Volume,Finger Extension,Finger Spread,Finger Limit,Parallel Symmetry,Perpendicular Symm,Orientation,Volume Object Enclosed,Volume,Energy
0.80547,222,0.062492,0.4,0.753002,0.124,0.168375845,5.327007143,0.182115677,0.151905,-1.66544
0.750184,158,0.027704,0.49,0.779995,0.23097561,0.472030715,1.207178398,0.129741549,0.110343,-0.982971
0.775755,140,0.034534,0.487619,0.760099,0.166699187,0.53309519,1.79796671,0.120758531,0.08612,-1.01903
0.708407,241,0.000155,0.489048,0.656249,0.019121951,0.480674241,1.741699785,0.041625155,0.075856,-1.38739
0.837868,81,0.131926,0.494762,1.460145,0.796585366,0.468562547,5.165205145,0.002938072,0.582017,-1.04123
0.73448,180,0.15365,0.339048,0.786158,0.397402439,0.292142957,2.360408283,0.029035725,1.10256,-1.45721
0.708608,225,0.02995,0.493333,0.693121,0.437506276,0.138327764,0.8731249,0.058984158,0.073297,-1.47808
0.809417,268,0.039988,0.251907,0.742987,0.260719665,0.27845865,3.104442728,0.078981578,0.047774,-1.6667
0.743787,232,0.028643,0.489048,0.64272,0.198895397,0.316872226,14.05013963,0.058580482,0,-1.43917
0.732925,646,0.139774,0.364286,0.484427,0.109802469,0.259243489,4.575545808,0.074129013,0.569943,-0.914127
0.703452,486,0.032335,0.412857,0.528925,0.000436214,0.162356645,8.235062733,0.056128287,0.30959,-1.00927
0.851776,426,0.006097,0.392381,0.596765,0.54927572,0.292855492,2.529793775,0,0.287596,-1.13585
0.956922,387,0.213967,0.305714,0.647099,0.071140845,0.385082761,3.517482079,0.044844474,0,-1.60566
0.583486,513,0,0.494762,0,1.014084507,0.63364364,3.878028677,0.033001088,0,0
0.822104,234,0.055447,0.428571,0.694845,0.255915493,0.404055532,2.218689116,0.028559056,0.016893,-1.69772
0.772908,344,0.070317,0.325238,0.688412,0.179959184,0.117451461,7.485611518,0.062107262,0.100796,-1.4267
0.950792,434,0.020728,0.14,0.681646,0.073289796,0.048605905,1.775088365,0.068314151,0.171234,-1.50998
0.833825,326,0.049241,0.353809,0.689142,0.258285714,0.111261715,2.284819208,0.062509734,0.086267,-1.46834
0.783757,156,0.006336,0.486667,0.75307,0.24145122,0.166242734,33.02557531,0.0311141,0.022323,-1.86336
0.920108,179,0.061166,0.292857,0.809305,0.28002439,0.213436741,6.763352078,0.044389105,0.112037,-1.41341
0.777193,152,0.011375,0.49,0.780127,0.057414634,0.637032257,10.5721372,0.044532169,0.034538,-1.85485
0.861605,377,0.001204,0.354286,0.652402,0.463697674,0.370290107,0.421508756,0.057957076,0.146306,-1.42663
0.633883,388,0.063949,0.392381,0.609564,0.293569767,0.450221012,0.798287111,0.070054464,0.24319,-0.454565
0.562958,113,0.065819,0.179048,0.83742,0.571360465,0.452737644,2.285161558,0.016039142,0.516306,-1.61526
0.782165,113,0.047169,0.48619,0.840934,0.509451777,0.294377337,3.116074357,0.059233393,0.003107,-1.80764
