Shake Testing Results from Interface Testing												
Aug-13												
Data generation: Human's used interactive markers software to propose successful grasps												
"Hardware: WAM arm, Barrett hand"												
Grasp #	Point Arrangement	Triangle Size	Finger Extension	Finger Spread	Finger Limit	Perpendicular Symmetry	Parallel Symmetry	Skewness	Volume Object Enclosed	Wrench Space Volume	Epsilon	Energy
1	0.798461532	0.000176058	0.246358508	0.0369	0.503566248	0.000112013	0.000129943	1.632670892	5.69E-05	0.00146	NaN	29.7775
2	0.916917186	0.000184915	0.0031115	0.1723	0.799170034	0.000119048	0.000105565	1.566718988	7.87E-05	0.000547	0.0243	25.6615
3	0.946959498	0.000181177	0.0121355	0.0346	0.778798201	0.000131896	0.000112687	1.595150155	5.80E-05	0.000492	0.0191	22.8923
4	0.818145998	3.87E-05	0.103774504	0	0.828242337	0.000137037	0.000114381	1.480209437	1.87E-05	0.000299	NaN	40.2642
5	0.824692013	0.000224237	0.047289502	0.1769	0.747603831	0.000148149	7.99E-05	1.710623337	2.14E-05	0.00044	NaN	48.3471
6	0.843051084	0.000110337	0.089258002	1.344	0.86919821	0.000142755	0.000110166	3.056632459	3.97E-05	0.000235	5.07E-19	29.1344
7	0.942029198	0.000144943	0.044958501	0.263	0.826756891	0.000121275	9.86E-05	1.6440807	7.68E-05	0.000511	0.023	34.844
8	0.698451039	6.06E-06	0.151615505	1.5534	0.857526847	0.000153678	9.99E-05	2.442708252	4.59E-05	0.000653	NaN	47.8631
9	0.563597498	4.82E-05	0.046525501	0.06424	0.464732442	0.000143793	0.000122696	1.743799557	4.68E-05	0.00205	0.0207	35.7954
10	0.719668841	4.14E-05	0.0009485	0.0793	0.527545594	0.000134457	8.82E-05	1.560833973	3.75E-05	0.00245	0.0158	35.6673
11	0.833896456	5.04E-05	0.036974001	0.1566	0.388125862	0.000134706	8.82E-05	1.619235906	2.63E-05	0.0265	0.0781	34.1973
12	0	0	0.030426502	0.007	0.408497694	0.00011785	0.000139926	1.531934669	5.82E-05	0.0206	0.021	37.7141
13	0	0.002789882	0.666244521	1.25476	0.466005681	0.000172958	0.000244641	3.141591399	2.33E-17	0.00746	NaN	33.8195
14	0.78262182	4.47E-05	0.0115505	1.42516	0.619855463	0.00012778	0.000106266	3.141591327	4.88E-05	0.00341	0.0523	32.1371
15	0.812075596	0.000217481	0.0061485	8	0.800231067	0.000137584	0.000116765	1.662278132	4.63E-05	0.000745	NaN	30.2476
16	0.838720087	0.000215695	0.481449515	1.6318	0.758001955	0.000126051	8.01E-05	2.747624014	0.000149399	0.000791	NaN	41.1711
17	0.762230823	0.000114233	0.0010085	0.05215	0.498685497	0.000150591	0.000122273	1.639518421	3.69E-05	0.00177	0.0153	57.8923
18	0	0	0.044284501	0.04768	0.338045106	0.000145673	0.000139906	1.777967842	6.97E-05	0.0301	0.0471	33.14
19	0	0.002380934	0.035745501	0	0.358629145	0.000190847	0.000244641	1.618767687	1.02E-05	0.0245	0.083	34.6494
20	0.885997926	3.75E-05	0.0231995	1.357	0.594178464	0.000119896	0.000106847	3.141591327	6.30E-05	0.00422	0.0624	34.3933
21	0.730416719	2.17E-05	0.001032	0.000976563	0.504202868	0.0001229	8.80E-05	1.615473702	6.72E-06	0.00146	NaN	78.9409
22	0.745901869	0.000198639	0.107689503	0.00365	0.718743735	0.000204148	9.12E-05	1.617324587	7.47E-05	6.17E-05	NaN	22.9903
23	0.765127157	0.000372015	0.006432	0.3956	0.745481765	0.000169205	8.85E-05	1.6131171	0.000152942	0.000187	0.0235	24.4451
24	0	0	2.003114062	0.034589	0.844582245	0.000187309	0.000195067	1.29309572	2.14E-07	0.000313	NaN	45.9967
25	0	0	1.268121129	0.13366	1.047549558	0.000234182	0.00016548	1.421095109	9.37E-05	0	NaN	77.2383
26	0.897735874	0.000199815	0.022509501	0	0.772432004	0.000164168	8.90E-05	1.577627441	0.000123749	5.53E-05	0.00865	26.7942
27	0.861793361	0.000263044	0.050823502	0.3154	0.787074258	0.000213947	0.000120641	1.732824886	9.66E-05	0.000137	0.000624	23.1682
28	0.845607984	0.00033424	0.0003435	0.263	0.769036697	0.000171426	5.75E-05	1.58052771	0.000213038	0.000146	0.0205	40.7455
29	0	0	0.263144008	0.8027	0.664418847	0.000228256	8.65E-05	1.47842509	0.000266384	9.22E-05	NaN	42.0508
30	0.707500618	0.000813383	0.147453505	0.0314	0.251889228	7.37E-05	9.88E-05	1.621256325	0	0	NaN	130.042
31	0.588899153	0.00039418	0.0066185	0.0464	0.30409205	0.000161805	0.000131292	1.724699598	0.000199467	0.000535	0.00747	40.338
32	0.546852851	0.000404468	0.762079524	0.245	0.523938081	0.000135814	7.50E-05	1.872461298	0.000451493	0.000106	0.00493	28.9902
33	0.779331999	7.29E-05	0.330632012	1.8187	0.230031949	0.000190755	9.75E-05	2.752365171	0.00012715	0.00409	NaN	32.617
34	0	0	0.239025507	0.3603	0.175919267	0.000209045	0.000189863	1.515443456	0.000119065	0.00334	NaN	32.9764
35	0.734517236	0.000306279	0.037980501	0.4605	0.752060171	0.000194732	0.000157009	1.287260722	0.000169857	0.000187	0.00807	45.3018
36	0	0.000530758	3.85E-32	2.094	5.89E-17	0.000245246	0.000160326	2.8418805	4.23E-16	0	NaN	90.8773
37	0	0	0.852159525	0.1299	0.626858279	0.000115908	0.000202305	1.412528689	5.50E-05	0.000923	0.0213	46.4535
38	0.818908111	7.89E-06	0.456066514	0.1839	0.836306188	0.000208694	0.000132951	1.375241366	1.67E-06	0.000124	NaN	33.8203
39	0	0.00113521	0.0220155	0.051920245	0.136873254	0.000251662	0.000160754	1.570823168	3.78E-05	0.00542	0.0269	19.3084
40	0.222091553	7.10E-05	0.518818518	2.288639145	0.506749348	0.000241264	0.0001043	2.661337211	4.49E-05	0.000207	NaN	43.9978
41	0.249249852	8.07E-06	0.034944001	0.00365	0.979121226	0.000130953	9.68E-05	1.686241207	5.25E-09	0.000137	NaN	31.7459
42	0.00027781	2.05E-09	0.0009015	0.1152	1.080980391	0.000161569	0.000104942	1.6131171	2.12E-13	1.87E-05	NaN	27.2748
43	0	0.001948746	0.243744008	0.0346	0.832698676	0.000210102	0.000173499	1.569645782	0.001948746	0.000625	NaN	29.9633
44	0.720984297	0.000101834	0.369285509	0.1336	0.733173783	0.000171049	9.82E-05	1.903335655	3.14E-05	0.000374	NaN	47.3701
45	0	0	0.0136295	0.235	1.125119362	0.00015539	0.000131358	1.577631377	8.89E-09	0	NaN	26.0311
46	0	0	0.298524509	0.144	0.852646096	0.000149019	0.000123207	1.389730127	4.81E-09	0.00051	NaN	30.4567
48	0.881273816	0.000242297	0.041306001	0.802	0.796835761	0.000188024	7.82E-05	1.537521423	1.57E-05	0.000536	NaN	55.7389
49	0.7208591	7.45E-05	0.33201351	0.164	0.95705174	0.000122712	8.92E-05	1.369781726	2.81E-06	0.000128	3.21E-18	60.2077
50	0.586846304	4.32E-05	0.117387502	0.0066	0.965327797	0.000143647	0.000102901	1.796768624	4.08E-09	0.000302	NaN	35.9009
51	0.267229007	9.74E-06	0.0178895	0.058	1.0748264	0.00017168	9.67E-05	1.609489358	5.20E-10	0.000812	NaN	25.0984
52	0.315196847	1.86E-05	0.050162001	0.19	1.059123111	0.000133548	0.000102451	1.664901019	3.86E-09	0	NaN	27.2907
53	0.24309471	1.89E-06	0.0115235	0.0123	1.120663024	0.000156393	8.77E-05	1.458539139	2.76E-09	0.000139	NaN	25.3993
54	0.986803584	3.31E-05	0.0018305	0.296	0.847553138	0.000178203	8.78E-05	1.656675605	2.32E-05	0.000413	NaN	45.954
55	0	0	0.093588503	0.088	1.019440478	0.000144011	0.000107332	1.445329535	3.79E-07	0.000387	NaN	25.7199
56	0	0	1.387746545	0.227	0.705162513	0.00012881	0.000137361	1.642004448	9.51E-05	0	NaN	27.881
57	0	0	0.372324511	0.003	0.771158764	0.000184229	0.00012749	1.816018869	1.82E-06	0.000106	NaN	36.5607
58	0.845382828	4.02E-05	0.0119895	0.065901054	0.730839511	0.000192645	9.64E-05	1.757102073	5.61E-06	0.000305	NaN	60.4006
59	0	0	0.810650118	2.702304722	1.0231458	0.00020178	0.000132486	1.875739018	0.000101559	0	NaN	79.2541
60	0.799349006	0.000246924	0.010536001	0.007	0.579960622	0.000184533	8.75E-05	1.34921968	0.000110231	0.000211	0.000695	20.421
61	0.813058939	0.000154134	0.045090501	0	0.539641369	0.000169171	8.12E-05	1.608121248	5.94E-05	0.000196	0.000851	16.3589
62	0.909524679	0.000169019	0.222822006	0.0345	0.808507124	0.000199664	4.33E-05	1.949343888	3.79E-05	5.72E-05	NaN	56.8256
63	0.818795526	0.000763801	0.063896002	0.2931	0.503778455	0.000199514	0.000117741	1.263416637	0.000224988	0.000407	0.00808	36.2264
64	0.655972224	0.000138126	0.017065501	0.0225	0.975301507	0.000201879	3.64E-05	1.577631239	1.01E-05	3.53E-05	NaN	56.399
65	0.792977539	0.000347519	0.009810501	0.3154	0.418471404	0.000192983	6.68E-05	1.584514464	0.000266768	0.00106	0.0003	30.9428
66	0.842423024	0.000593179	0.194905506	0.263	0.475554978	0.000193569	0.000118122	1.668284786	0.000254377	0.000996	0.0267	29.2371
67	0.780626232	0.000101163	0.159324504	0.0596	0.457941831	0.000154825	7.86E-05	1.589227575	0.000176793	0.000652	NaN	42.4753
68	0.73098087	0.000173018	0.086865502	0.0119	0.835457361	0.000174028	5.24E-05	1.59068984	1.30E-05	4.12E-05	NaN	52.3261
69	0.875340545	0.00051065	0.140194505	0.138	0.501019769	0.00018958	0.000113402	1.537099869	0.000192314	0.000671	0.0226	23.5911
70	0.895898011	0.000479729	0.310108511	0.802	0.231092981	0.000163184	0.000101823	1.216755739	0.000615902	0.00129	0.0225	31.249
71	0.670563821	0.000799839	0.604648517	0.3603	0.539853576	0.000177287	0.00010819	1.012292897	0.000145205	0.000442	NaN	37.3096
72	0.89648984	0.00051568	0.0012695	0.2343	0.5663794	0.000168235	0.000108435	1.630900962	0.000187884	0.000685	0.00486	18.6987
73	0	0	2.379358243	0.129	0.630351394	0.000148261	9.02E-05	2.459958494	0.000111008	0	NaN	92.1871
74	0.569555142	7.70E-05	0.116642003	0	0.516510851	0.00019559	8.92E-05	1.484963162	8.48E-05	0.000198	0.00949	21.452
75	0.750118176	0.000461955	0.093282002	0.0098	0.525211321	0.000119495	9.41E-05	1.559949432	0.000123094	0.00046	0.0154	18.1643
76	0.58194545	6.18E-05	0.224154507	0.9437	0.668875185	0.000193464	0.000119501	1.437883193	2.35E-05	0.000654	NaN	54.279
77	0	0	0	0	1.555555556	0.000295	0.00042204	1.563349338	0	0	NaN	698.308
78	0.887507298	0.000132493	0.0023315	0.028	0.78325454	9.11E-05	0.000104166	1.5927659	6.14E-06	0.00101	NaN	82.1808
79	0.927389937	0.000167199	0.0043875	0.115	0.79322825	9.23E-05	9.19E-05	1.532796652	6.72E-06	0.00166	NaN	80.7106
80	0.551716282	0.000288024	0.220773507	0.0163	0.639378469	8.15E-05	7.40E-05	1.597490248	2.45E-05	0.000849	0.0169	56.7827
81	0	0	1.16069555	0.133	0.919164569	0.000105385	0.000152275	1.518285317	3.67E-05	0	NaN	89.8955
82	0.876786649	0.000234376	0.061334001	0.235	0.75142355	8.81E-05	0.000103884	1.533639712	9.71E-06	0.00284	0.0025	70.0792
83	0.905615603	0.000121448	0.0010935	0.144	0.79195501	8.87E-05	0.000105746	1.539351959	8.19E-06	0.00134	NaN	73.5652
84	0.925963367	0.000115431	0.0024125	0.032	0.789832944	8.54E-05	0.000103901	1.557645177	9.20E-06	0.00211	0.0534	58.9384
85	0.485070896	0.000318346	0.033912501	1.117	0.664418847	8.71E-05	0.000102218	1.559342416	2.56E-05	0.00613	NaN	66.7142
86	0.637600246	0.000253209	0.180030505	0.134	0.667601946	8.47E-05	0.000126526	1.612710177	1.45E-05	0.00108	NaN	66.5641
87	0.907293231	9.23E-05	0.0156395	0.0066	0.770522144	9.16E-05	9.37E-05	1.560173656	5.12E-06	0.000826	NaN	74.9207
88	0.953142186	0.000129149	0.002366	0.058	0.779647027	9.08E-05	9.47E-05	1.63253997	8.72E-06	0.001	NaN	74.1916
89	0.80985987	0.000396106	0.133119505	0.19	0.6629334	8.36E-05	0.000121203	1.626011821	1.91E-05	0.00229	0.0247	64.9588
90	0.651357678	0.000214766	0.0118185	0.896	0.725746552	9.10E-05	9.30E-05	1.575000426	1.19E-05	0.0033	NaN	81.2272
91	0.849101863	0.000205127	0.0161045	0.344	0.759699607	9.09E-05	0.000104145	1.523614327	1.02E-05	0.00247	NaN	72.1815
92	0.851163748	8.28E-05	0.0064835	0.088	0.784739985	9.22E-05	0.000110002	1.485048326	4.47E-06	0.000547	NaN	74.1697
93	0	0	1.336762937	0.2266	0.863566441	0.000116748	0.00014471	1.758414218	8.80E-06	0	NaN	140.055
94	0.945126033	0.000121472	0.019324501	0.051	0.772856416	9.14E-05	9.09E-05	1.565795719	6.70E-06	0.00167	NaN	78.5694
95	0	0.012013704	2.985250714	0.09482601	1.037037037	0.00015589	0.000196152	1.175371302	0	0	NaN	115.798
96	0	0	0	2.22E-16	1.555555556	0.000295	0.000388	1.563349338	0	0	NaN	721.964
97	0.927939014	7.96E-05	0.016663501	0.146	0.864529665	0.000149384	9.28E-05	1.470020139	1.11E-05	0.000107	NaN	73.8538
98	0	0.001221676	0.321340511	0.299	0.932011362	0.000191912	0.000203644	1.405832604	0	0.00161	NaN	26.233
99	0.643243287	4.31E-05	0.910509527	0.0163	0.724048899	0.000127278	0.000108744	1.725242592	1.30E-05	0.000284	NaN	38.3455
100	0	0	2.355712764	0.134	0.880330761	0.000135767	0.000136626	0.897000277	0.000298976	0.000296	NaN	51.5858
101	0.765521121	0.000122867	0.347805513	0.1244	0.791106183	0.000107683	0.000108732	1.514978136	9.01E-06	0.000461	NaN	37.1896
102	0.761376031	8.01E-05	0.415135512	0.144	0.965752209	0.000125448	8.45E-05	1.174732267	4.76E-06	0.000216	NaN	36.9679
103	0	0	0.073242003	0.032	0.771583177	0.000295	0.00038602	1.631127804	0	0.000323	NaN	30.3363
104	0	0	1.290978041	1.508	0.679909928	0.000151796	0.000108147	2.41536111	6.89E-05	0	NaN	45.3408
105	0.83511278	1.05E-06	0.019166	0.134	0.775190689	0.000125879	8.79E-05	1.550363263	1.14E-05	0.000372	NaN	49.0453
106	0.765631868	1.65E-06	0.018302001	0.0066	0.78007144	0.000105288	8.88E-05	1.661006066	1.02E-05	0.000366	NaN	44.5579
107	0	0	0.482846013	0.058	0.880232952	0.000156652	0.000124586	1.532357404	4.85E-09	0.00148	NaN	28.2803
108	0.68757919	6.64E-05	0.468940514	0.101	0.804050786	0.000135816	0.000110581	1.796669976	8.05E-06	0.0002	NaN	41.5347
109	0	0.001458809	0.459036514	0.264	0.840125907	0.000187773	0.000198095	1.411875502	0	0.000747	NaN	27.9326
110	0.738631221	3.39E-05	0.605910519	0.087	0.753545617	0.000127487	0.000116183	1.683581978	4.94E-06	0.000105	NaN	32.7511
111	0	0	0.892153526	0.088	0.926918404	0.000139966	0.000130372	1.386437241	2.21E-07	0.000219	NaN	25.1562
112	0.804858253	9.66E-05	0.0047805	0.123	0.865166284	0.00013792	9.07E-05	1.559244656	1.60E-05	0.000137	NaN	41.242
113	0.583059721	6.71E-06	0.311874508	0	0.622401941	0.000122251	0.000107217	1.819653012	2.53E-06	0.000139	NaN	52.0962
114	0.81368991	0.00036255	1.587891552	0.008286414	0.752272377	0.000117917	0.000109181	0.928939041	8.94E-06	0.000287	NaN	52.9142
115	0	0.001083708	0.578384016	1.908663607	1.193123281	0.000212141	0.000193778	1.388729164	0	0	NaN	79.1018
116	0.903069358	3.22E-05	0.053140502	0.055	0.933284602	0.000140205	0.000117661	1.513979887	7.48E-08	0.00126	NaN	21.6555
117	0.335075141	7.03E-06	0.0001865	0.0923	0.988246109	0.000126628	9.65E-05	1.58197722	5.09E-07	0.000322	NaN	18.4623
118	0.819662057	0.000227959	0.134181504	0.178	0.757153128	0.000131443	0.000107523	1.351966157	2.99E-06	0.00074	NaN	31.4212
119	0.211862839	0.000162984	0.61490452	2.0943	0.468339954	0.000114133	7.40E-05	2.170441406	0.000113927	0	NaN	83.6724
120	0.768901414	2.35E-05	0.003354	1.31	1.016045173	0.000143334	0.000116676	2.949353055	3.38E-07	0.000117	NaN	27.5464
121	0	0.003158464	0.561754517	0.124	0.599059216	0.000178207	0.000202948	1.520163991	0	0.0127	0.0945	30.0188
122	0.738668583	0.000114824	0.086474002	0.149	0.807021678	0.000126145	0.000101097	1.857944296	3.37E-05	0.000283	0.0127	43.4243
123	0	0.002243821	0.509665514	0.032	0.611154992	0.000182011	0.000180087	1.632462236	1.38E-18	0.00799	0.0464	28.75
124	0.940405948	6.77E-05	0.241740507	1.508	0.85795126	0.000135158	0.000104635	1.399168792	5.47E-06	0.000662	0.00635	48.2925
125	0.955143787	2.51E-06	0.0011265	0.095	0.73338599	0.000122705	0.000104696	1.595287447	3.50E-05	0.0014	NaN	42.2084
126	0.713108607	0.000242925	0.190551506	0.044	0.679697722	0.000128431	9.69E-05	1.674497717	8.62E-06	0.000764	0.0177	45.761
127	0.759770248	8.01E-06	0.040695501	0.051	0.819541866	9.87E-05	9.45E-05	1.353688167	4.49E-06	0.00248	NaN	22.1854
128	0.896319833	9.15E-05	0.274935509	0.08	0.829727783	0.000109792	8.53E-05	1.595642746	1.82E-06	0.00256	0.0252	32.539
129	0	0	0.275796509	0.016	0.696674249	0.000167716	0.00013964	1.568096762	1.09E-05	0.00175	NaN	29.9029
130	0.657882957	1.26E-05	0.0026465	0.087	0.934345634	0.000103458	9.50E-05	1.508638143	2.10E-06	0.000227	NaN	20.7775
131	0	0	1.404945543	0.092	0.523725874	0.00014131	0.000126909	1.60235063	3.93E-05	0.00726	0.021	43.3489
132	0.684793497	0.000199317	0.285152009	0.007	0.682244201	0.000118119	9.62E-05	1.675491406	1.36E-05	0.00097	0.018	42.005
133	0.705725015	7.39E-05	0.029378001	0.032019085	0.930950328	0.000109129	7.51E-05	1.404481391	1.20E-05	0.000426	NaN	21.5856
134	0	0	0.157159283	1.674459954	1.331906393	0.000295	0.00038602	1.851646454	0	0	NaN	243.503
135	0.784616619	7.56E-05	0.121879503	0.055	0.839701493	0.000169353	9.01E-05	1.196910417	8.13E-06	0.000491	NaN	21.5038
136	0.582385206	1.57E-05	0.0019545	0.409	0.93519446	0.00016413	9.47E-05	1.58197722	2.55E-06	0.000193	NaN	20.8716
137	0.92780562	3.70E-05	0.129384504	0.163	0.730415097	0.000126449	9.67E-05	1.538804218	9.62E-06	0.00119	NaN	27.0692
138	0	0	0.115485503	0.134	0.762246087	0.000227136	0.000138635	1.86368563	2.02E-05	0.000753	NaN	30.7963
139	0	0	0.589053517	0.186	0.57507987	0.000168361	0.000139052	1.517566228	3.14E-06	0.00174	0.0178	31.4753
140	0.928229458	6.52E-05	0.144063504	0.149	0.827181304	0.000111622	8.82E-05	1.504564076	1.35E-05	0.000115	NaN	29.1848
141	0	0	0.189004506	0.032	0.781132473	0.000166408	0.000110066	1.238958724	1.93E-05	0.000648	NaN	22.9596
142	0.840769726	9.56E-05	0.028262001	0.586	0.792167217	0.000177871	9.75E-05	1.783072451	6.97E-05	0.000144	NaN	32.7994
143	0.750498177	0.000232494	0.162824005	0.095	0.711528711	0.000139504	9.36E-05	1.667336053	3.97E-05	0.000337	NaN	32.6252
144	0.772496522	4.73E-05	0.035031501	0.044	0.72341228	0.000161796	0.000103562	1.554570058	2.71E-05	0.000218	0.00452	35.9566
145	0.863517995	0.000122886	0.033926001	0.051	0.822937173	0.00019296	0.00011202	1.286568913	3.07E-06	9.33E-05	NaN	28.0422
146	0.916381127	9.21E-05	0.295398008	0.189	0.811690223	0.000126544	8.80E-05	1.567493337	3.88E-06	0.000163	NaN	34.2329
147	0	0	0.207240506	0.016	0.822937173	0.000180586	0.00015004	1.8902902	1.20E-05	0.000523	NaN	24.0123
148	0.853144855	7.84E-05	0.014226501	0.169	0.916308074	0.00016985	7.60E-05	1.65892378	1.37E-05	8.91E-05	NaN	19.5543
149	0	0	0.705006519	0.088	0.568289259	0.000198096	0.000136744	2.030400825	1.46E-05	0.0012	NaN	35.5196
150	0	0	0.249840508	0.123	0.822724965	0.000205144	0.000143862	1.365135363	1.53E-05	0.000534	0.00449	31.4129
151	0.812087268	7.03E-05	0.0007445	0.007	0.717894908	0.000117963	8.74E-05	1.63309256	4.44E-05	0.000168	NaN	52.7004
152	0.686138908	3.83E-05	0.0080745	0.178177868	0.908456429	0.000150751	0.000112636	1.784175992	1.14E-06	7.99E-05	NaN	18.7764
153	0	0.001380571	1.716178283	1.922804653	1.038212467	0.0002159	0.0001769	0.987620897	0	0	NaN	69.137
