Shake Testing Results from Interface Testing	
Aug-13	
Grasps generation: Humans guided Grasp into position via interactive marker interface in virtual enviornment	
"Hardware: WAM arm, Barrett hand"	
Grasp #	Shake testing success rate average of 10 trials
1	1
2	1
3	1
4	0
5	1
6	1
7	1
8	0.9
9	0.5
10	1
11	1
12	1
13	1
14	1
15	1
16	0.8
17	1
18	1
19	1
20	0.9
21	0
22	1
23	1
24	0
25	0
26	1
27	1
28	1
29	1
30	0
31	1
32	1
33	1
34	1
35	1
36	0
37	1
38	1
39	1
40	0
41	1
42	1
43	1
44	1
45	1
46	1
48	0.6
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	0
60	1
61	1
62	1
63	0
64	0
65	1
66	0.2
67	1
68	0.8
69	0.8
70	0.5
71	0
72	1
73	0
74	0.8
75	0
76	0
77	0
78	0
79	0.9
80	0
81	0
82	0
83	0.6
84	0.5
85	0.1
86	0
87	0.4
88	0.8
89	0
90	0.9
91	0.9
92	0.1
93	0
94	0.8
95	0
96	0
97	0.1
98	1
99	1
100	0
101	1
102	1
103	0.2
104	0
105	0.9
106	0.8
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	0
115	0
116	1
117	1
118	1
119	0
120	1
121	1
122	1
123	0.4
124	1
125	0.7
126	1
127	1
128	1
129	1
130	1
131	0
132	1
133	1
134	0
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	0.2
143	1
144	1
145	1
146	1
147	1
148	1
149	0
150	0
151	1
152	1
153	0
154	1
155	1
156	1
157	0.4
158	1
159	1
160	1
161	1
162	0
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	0
173	0
