Shake Testing Results from Interface Testing												
Aug-13												
Data generation: Human's used gamepad to propose successful grasps												
"Hardware: WAM arm, Barrett hand"												
Grasp #	Point Arrangement	Triangle Size	Finger Extension	Finger Spread	Finger Limit	Perpendicular Symmetry	Parallel Symmetry	Skewness	Volume Object Enclosed	Wrench Space Volume	Epsilon	Energy
1	0.870042208	0.000245346	0.000134	0.3	0.786437638	0.000132462	0.000115748	1.55509632	5.18E-05	0.000627	0.0406	23.6834
2	0.898928955	0.000246355	5.55E-05	0.19415	0.79068177	0.000128549	0.000100295	1.555104432	8.19E-05	0.000607	0.0391	24.7376
3	0	0	1.147240535	0.2	0.671633871	0.000161294	0.000101169	1.56328665	0	0.00978	NaN	30.8676
4	0.886166523	0.00017372	0.0042815	0	0.805111819	0.000118484	0.000109659	1.56340976	6.25E-05	0.000278	0.013	23.4929
5	0	0.002971793	0.0150795	0.04	0.317673273	0.000165	0.000173515	1.579216084	9.64E-07	0.0336	0.0704	35.1637
6	0.912264072	0.000240377	0.029908501	0.159	0.764580359	0.000119201	9.41E-05	1.555137875	9.90E-05	0.000635	0.0141	23.1586
7	0.852908271	0.000184047	0.014792	0.4617	0.794713696	0.000133613	0.000112484	1.135392035	4.72E-05	0.000375	0.00659	28.9527
8	0.663524598	0.000569888	0.316413512	0.0899	0.338257312	0.00010583	7.05E-05	1.563349338	0.000103499	0.00272	0.0492	49.8382
9	0.793014288	2.63E-05	0.046754001	0	0.382184078	0.000118874	8.66E-05	1.765114222	4.65E-05	0.00128	0.0147	32.7342
10	0.67175485	0.000185723	0.572305519	0.49626	0.699645142	0.000127724	0.000110915	1.63182888	3.12E-05	0.00185	NaN	35.3516
11	0.616989881	7.84E-05	0.070125503	0	0.470037606	0.000136995	8.72E-05	1.571282711	4.55E-05	0.00218	0.0411	38.0016
12	0.768108284	6.84E-05	0.0057785	0.161	0.492955919	0.00012208	8.73E-05	1.565777578	6.02E-05	0.00473	0.0692	36.9027
13	0	0	0.274742008	0	0.477677044	0.000151104	9.29E-05	1.56335672	1.81E-05	0.017	0.00326	33.7022
14	0	0	0.0009195	0	0.248918336	0.000295	0.0004175	1.603899229	0	0.0326	0.0887	32.5352
15	0.81480284	0.000104569	0.0015125	0	0.80192872	0.000112363	8.80E-05	1.563723516	9.99E-05	0.000736	0.0381	33.0636
16	0	0.002117293	0.896424528	0.5099	0.480860142	0.000202158	0.000204035	1.24413084	2.00E-16	0.0229	0.062	32.4095
17	0.555977733	0.000108883	0.251065508	0	0.571684565	0.000146813	0.000122231	1.555879235	3.05E-05	0.00087	0.0137	43.0645
18	0.599383083	2.72E-05	0.027579501	0	0.472796293	0.000119395	0.000123384	1.539093957	2.43E-05	0.000631	NaN	34.9544
19	0	0.001971046	0.434124511	0.377	0.404677976	0.000208778	0.000225991	1.244747782	5.67E-18	0.0232	0.0755	34.9719
20	0	0.002534383	0.539964516	0	0.277990639	0.000159106	0.0001734	1.555298244	1.36E-05	0.0125	0.0874	30.1444
21	0.793287868	0.000172995	0.0010905	0	0.779859234	0.000178641	0.000116709	1.555100975	9.15E-05	5.54E-05	0.00934	21.896
22	0.79503445	0.00033926	0.011193501	0.3	0.747179418	0.000172542	9.35E-05	1.603907735	0.000151124	0.00017	0.0187	22.8849
23	0	0	0.001286	0	0.067269491	0.000295	0.00042204	1.563291687	0	0.00848	0.0214	12.885
24	0.77043511	3.02E-05	0.009424501	0.00433	0.757577542	0.000199945	0.000109392	1.640891335	0.000228109	5.84E-05	0.00154	30.0886
25	0.743689652	0.000289496	0.151534505	0.2715	0.197352133	0.000175284	0.00013123	1.555298244	0.000230514	0.00185	0.000642	34.4931
26	0.856927905	0.00020536	0.433864514	1.124	0.223453545	0.000170004	0.000113901	0.995314358	0.000152399	0.00231	NaN	33.0753
27	0.874340694	0.000223524	0.026508501	0.239	0.792379423	0.000181088	7.39E-05	1.600144574	0.000269787	0.000118	0.011	29.3009
28	0.935203465	0.000240806	0.010088001	0.0669	0.786649846	0.000147269	9.13E-05	1.563327137	0.000156943	0.000181	0.016	22.0286
29	0.564409887	3.09E-05	0.011859501	0	0.338469519	0.000187006	0.00013104	1.571902385	7.82E-05	0.000434	0.0148	46.8549
30	0	0	0.586362517	0.521	0.714499604	0.000216313	0.000174908	1.584290337	1.48E-05	0.000621	0.0178	38.7519
31	0.518858308	0.000145305	0.108193502	0	0.225363404	0.000138024	0.000131461	1.551608971	0.000119766	0.000618	NaN	35.9414
32	0.841334656	0.000259603	0.017912001	0.1484	0.750362518	0.000163079	0.000123484	1.653693965	0.000135048	0.000138	0.0158	22.5769
