Shake Testing Results from Interface Testing												
Aug-13												
Data generation: Human's used spaceball to propose successful grasps												
"Hardware: WAM arm, Barrett hand"												
Grasp #	Point Arrangement	Triangle Size	Finger Extension	Finger Spread	Finger Limit	Perpendicular Symmetry	Parallel Symmetry	Skewness	Volume Object Enclosed	Wrench Space Volume	Epsilon	Energy
1	0.882796629	0.000100276	0.002502	0	0.802140926	0.00010263	0.000110165	1.562243578	4.56E-05	0.000251	0.015	23.2301
2	0.875190925	0.000212127	0.0105245	0.282546	0.779647027	0.000131593	0.000111639	1.367955298	6.08E-05	0.000564	0.04	24.7944
3	0	0	0.383185512	0	0.656354996	0.000143039	0.000132077	1.440836473	3.10E-05	0.00267	NaN	30.1029
4	0.696869134	0.000162252	0.0083315	0	0.790893977	0.000139508	0.000111343	1.379009789	4.75E-05	0.000241	0.00248	23.172
5	0	0.002162428	0.428793514	0	0.288813175	0.000200406	0.000244641	1.562540654	1.24E-05	0.0142	0.0379	27.8345
6	0.923115501	0.000241907	0.029346001	0.1056	0.758850781	0.000135023	9.27E-05	1.654873756	6.38E-05	0.000578	NaN	34.2538
7	0.935335858	0.000237757	0.0003185	0.1162	0.790469563	0.000132506	9.95E-05	1.567226268	6.52E-05	0.000558	0.0347	28.265
8	0.844670062	0.000152964	0.145281504	0	0.733810402	0.000118671	0.000104153	1.725986871	8.04E-06	0.000287	NaN	26.0578
9	0.94886641	0.000205947	0.024576501	0.0932	0.816570975	0.000110666	0.000112212	1.558478327	5.64E-05	0.000509	0.0143	23.608
10	0	0.003024155	0.074719503	0.09999	0.339954965	0.00016271	0.000173503	1.475484871	1.23E-05	0.0268	0.129	36.528
11	0.855812028	0.00021769	0.0012065	0.0695	0.789196324	0.000128585	0.000103562	1.582552988	6.42E-05	0.000522	0.0311	26.4884
12	0.876188646	0.000149458	0.0011765	0	0.797896794	0.000107824	0.000114128	1.622632823	4.53E-05	0.000251	0.0115	22.5869
13	0.791343592	7.69E-05	0.085848003	0	0.758850781	0.000113621	9.58E-05	1.546188044	7.30E-05	0.000254	0.00324	27.4659
