Crowd Sourced Results from General Testing		
Jan-13		
Grasps generation: Researcher generated grasps in attempt to randomly sample heuristic space		
Procurement Method: Amazon Mechanical Turk - 2818 datapoints spread over 72 grasps nearly evenly.  92 unique respondants.		
Grasp #	Average of Grasp Quality Ranking from 0(bad) to 1(good) in .25 intervals	"Average of Grasp Success Prediction (0 will fail, 1 will pass)"
1	0.462121212	0.363636364
2	0.779069767	0.860465116
3	0.548076923	0.423076923
4	0.703488372	0.720930233
5	0.470149254	0.343283582
6	0.540322581	0.387096774
7	0.600961538	0.423076923
8	0.171052632	0.052631579
9	0.43852459	0.295081967
10	0.79245283	0.622641509
11	0.711111111	0.777777778
12	0.518518519	0.574074074
13	0.659090909	0.613636364
14	0.616666667	0.644444444
15	0.663636364	0.672727273
16	0.734848485	0.696969697
17	0.655555556	0.666666667
18	0.822368421	1
19	0.733974359	0.846153846
20	0.683673469	0.551020408
21	0.594827586	0.482758621
22	0.584677419	0.516129032
23	0.707142857	0.771428571
24	0.083333333	0.047619048
25	0.574324324	0.162162162
26	0.547169811	0.245283019
27	0.533333333	0.566666667
28	0.725609756	0.219512195
29	0.520833333	0.708333333
30	0.607142857	0.666666667
31	0.45	0.28
32	0.189655172	0.103448276
33	0.871621622	0.891891892
34	0.701923077	0.769230769
35	0.549342105	0.381578947
36	0.685897436	0.487179487
37	0.432432432	0.108108108
38	0.393939394	0.363636364
39	0.713709677	0.774193548
40	0.355263158	0.157894737
41	0.868421053	0.894736842
42	0.580188679	0.528301887
43	0.681818182	0.696969697
44	0.651408451	0.521126761
45	0.642857143	0.69047619
46	0.666666667	0.523809524
47	0.7	0.833333333
48	0.133928571	0.035714286
49	0.668478261	0.543478261
50	0.6875	0.65
51	0.527777778	0.377777778
52	0.864285714	0.885714286
53	0.808333333	0.766666667
54	0.583333333	0.259259259
55	0.6375	0.4
56	0.166666667	0.102564103
57	0.55	0.433333333
58	0.5	0.2
59	0.761904762	0.857142857
60	0.416666667	0.259259259
61	0.534090909	0.590909091
62	0.630952381	0.333333333
63	0.6875	0.7
64	0.171428571	0.057142857
65	0.908333333	1
66	0.7125	0.8
67	0.508333333	0.5
68	0.725	0.533333333
69	0.75	0.5
70	0.488095238	0.333333333
71	0.602564103	0.692307692
72	0.1625	0.1
