Shake Testing Results from General Testing	
Jan-13	
Grasps generation: Researcher generated grasps in attempt to randomly sample heuristic space	
"Hardware: Adept arm, Barrett hand"	
Grasp #	Shake testing average of 8 trials
1	1
2	1
3	1
4	1
5	0
6	0.63
7	0.63
8	0
9	0
10	0
11	1
12	1
13	1
14	1
15	0
16	0
17	0
18	1
19	1
20	0
21	0.13
22	0
23	1
24	0
25	1
26	1
27	0.75
28	1
29	1
30	1
31	0
32	0
33	1
34	0.5
35	0.63
36	0.25
37	0
38	0
39	0.75
40	0
41	1
42	1
43	0.88
44	0.88
45	0
46	0
47	1
48	0
49	1
50	0.13
51	0
52	0.25
53	1
54	0
55	0.5
56	0
57	0.25
58	1
59	0.88
60	0
61	0.63
62	0.88
63	0
64	0
65	1
66	1
67	1
68	1
69	0.75
70	0
71	1
72	0
