Shake Testing Results from Interface Testing	
Aug-13	
Grasps generation: Humans guided Grasp into position via gamepad interface in virtual enviornment	
"Hardware: WAM arm, Barrett hand"	
Grasp #	Shake testing success rate average of 10 trials
1	1
2	1
3	1
4	1
5	0.7
6	1
7	1
8	0.9
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	0
17	1
18	1
19	1
20	0.9
21	1
22	1
23	1
24	1
25	1
26	1
27	0.8
28	1
29	0
30	1
31	0
32	1
33	0.9
34	0
35	1
36	1
37	1
38	1
39	1
40	0.4
41	1
42	1
43	1
45	1
46	1
47	1
48	1
49	1
50	0.7
51	1
52	1
53	1
54	1
55	0.6
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	0
64	0
65	0.3
66	1
67	0
68	1
69	1
70	0.8
71	0
72	0
73	0
74	0.6
75	1
76	0.5
77	1
78	1
79	0.9
80	1
81	0
82	0
83	0
84	1
85	0.9
86	0.2
87	1
88	0
89	0.8
90	1
91	0.4
92	0
93	0
94	0
95	0
96	0
97	0
98	0.4
99	1
100	1
101	1
102	0.2
103	1
104	0.8
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	0.9
113	1
114	1
115	1
116	0.6
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	0.4
133	1
134	1
135	1
136	1
137	1
138	1
139	0
140	0
141	1
142	1
143	0.2
144	0.9
145	1
146	0
147	1
148	1
149	0.9
150	1
151	0
152	1
153	1
154	1
155	1
156	0
157	1
158	1
159	0
160	1
161	1
162	1
163	1
164	1
165	0
166	0.7
167	1
168	0
169	1
170	0
171	1
172	1
173	1
174	1
175	0
176	0.1
