Shake Testing Results from Interface Testing	
Aug-13	
Grasps generation: Humans guided Grasp into position via spaceball interface in virtual enviornment	
"Hardware: WAM arm, Barrett hand"	
Grasp #	Shake testing success rate average of 10 trials
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	0.6
11	1
12	1
13	1
14	0.2
15	1
16	0.9
17	1
18	0
19	0.9
20	1
21	1
22	1
23	0
24	1
25	1
26	1
27	1
28	0.5
29	0.9
30	1
31	1
32	0
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	0
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	0
61	0
63	1
64	1
65	0.6
66	1
67	1
68	0
69	0.6
70	0
71	1
72	0.7
73	0
74	1
75	1
76	1
77	0
78	1
79	0
80	0
81	0
82	1
83	0.2
84	0
85	0
86	0
87	0
88	0.9
89	0
90	0
91	0
92	1
93	0
94	0
95	0
96	0
97	0
98	0
99	1
100	1
101	0.1
102	0.9
103	1
104	0.5
105	1
106	1
107	1
108	0.1
109	0.8
110	1
111	1
112	0.7
113	1
114	0.3
115	1
116	1
117	1
118	0
119	1
120	1
121	1
122	0
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	0
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	0.8
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	0.2
152	1
153	1
154	0.9
155	1
156	0.3
157	0.3
158	1
159	1
160	1
161	0
162	1
163	1
164	1
165	0
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	0.8
175	1
176	0.3
