PointArng,TriangleSize,Extension,Spread,Limit,PerpSym,ParallelSym,OrthoNorm,Volume,GraspIt_Volume,GraspIt_Epsilon,Energy,GraspIt_AutograspQuality,Succ_Rate
0.737126528,82.95060251,0.0055685,0.985182,0.487286971,0.152656895,0.200228329,1.959631149,0.370618393,3.487100603,0,20.67836609,2.00E+07,0.1
0.81606428,106.885323,0.0045245,0.83011,0.461776707,0.131870814,0.155501114,1.866628031,0.316928416,2.090803814,0,27.15731881,2.00E+07,1
0.747599704,72.2279925,0.0132335,0.739067,0.478692604,0.242648831,0.155714984,1.459742888,0.361152294,1.737113375,0,18.04736547,-1.98776,0.4
0.627633574,48.99996941,0.036513501,0.97911,0.50406645,0.271477286,0.214593516,1.295221665,0.420393921,0.434839663,0,16.22954191,2.00E+07,1
0.641139527,102.1844316,0.0043415,1.01491,0.467915541,0.208825247,0.118238638,1.938460723,0.401723775,1.273981443,0,21.09177075,2.00E+07,0
0.69609484,107.8438705,0.011958001,0.978225,0.463686566,0.219919891,0.14067452,1.829614616,0.397491972,1.148311245,0,24.81193286,2.00E+07,1
0.756426622,88.49937142,0.0026585,1.06489,0.45413727,0.161806803,0.151186931,2.068117921,0.377071931,7.841123766,0.000671036,21.05581019,2.00E+07,1
0.716894033,101.424495,0.0046865,1.16446,0.435175095,0.107228049,0.148674297,2.151508921,0.334125014,6.059674038,0,26.35933438,2.00E+07,0.6
0.573582764,55.90077857,0.0010935,1.42312,0.508295424,0.275427177,0.180325094,1.676039625,0.316439276,0.590766426,0,23.56928099,2.00E+07,1
0.489035312,35.02381722,0.035433501,1.19704,0.517844721,0.291239286,0.13673908,1.355253071,0.359661741,0.562978634,0,19.01243762,2.00E+07,0
0.671352372,84.9426402,0.0100365,0.75287,0.482103067,0.221544619,0.114977307,1.707562441,0.356106357,1.745549843,0,20.07192222,2.00E+07,1
0.738356912,78.44619107,0.008216,0.989064,0.483057997,0.240200784,0.135649983,1.704169749,0.351395647,1.230592297,0,21.95873512,2.00E+07,1
0.569712651,107.4110113,0.027685501,1.49908,0.414985153,0.102255301,0.023371754,2.733491334,0.365949966,1.519067567,0,26.35139627,-0.518821,0.2
0.594858319,106.4245395,0.080041502,1.0999,0.431355376,0.054195789,0.086881028,2.630774184,0.430110637,2.238259636,0,21.09855781,2.00E+07,0.9
0.536338105,97.4129917,0.00465,1.48592,0.43094612,0.099351338,0.064195906,3.056015643,0.467438451,0.909503057,0.002333583,23.48903416,-4.11908,1
0.539086882,107.1693544,0.0022295,1.45278,0.420441894,0.118659799,0.034102838,2.847739261,0.428853434,1.20588215,0,21.52581516,-1.39271,0.7
0.532632773,98.74182782,0.0005585,1.52508,0.418804871,0.059480307,0.070315772,2.746855342,0.358365935,0.982069047,7.02E-05,20.67712568,-2.7787,0
0.448877514,88.87888532,0.037030501,1.40754,0.434220164,0.031038016,0.024683594,2.807972369,0.396982554,1.452006619,0,18.91515905,-1.72856,1
0.537737253,99.39129172,0.0206285,1.40437,0.436539279,0.072062184,0.007160945,2.389951238,0.368370771,1.107722356,4.66E-05,26.08612146,-1.29165,1
0.537513298,68.64184821,0.0135645,1.09907,0.4735087,0.044802621,0.122000849,2.873435115,0.415063371,0.581045758,0,21.54906343,2.00E+07,0.8
0.49860857,94.3595798,0.0012545,1.47879,0.420851149,0.058088414,0.155285842,2.87240238,0.231212006,1.412274883,0.000600897,37.51558229,-0.698104,1
0.889434236,89.26922188,0.040074001,1.35155,0.489469667,0.29239409,0.078719452,1.829514638,0.373914673,0.172332478,0.000109606,16.97236145,2.00E+07,1
0.54753397,101.7322359,0.000806,1.50344,0.424534449,0.118690358,0.054124704,3.057140345,0.45494613,0.888082458,0.002695356,24.22672616,-4.62388,0.9
0.535707297,99.14054541,0.0081965,1.49256,0.434356583,0.097100126,0.078583733,2.895497084,0.409196576,1.199325142,0.000794393,17.52404324,-1.45591,1
0.568002856,105.2336872,0.0002765,1.43375,0.420169056,0.11793823,0.115381547,2.888463868,0.521830112,1.587876194,0.000284957,21.21618978,-5.68558,1
0.750627465,146.2065679,0.0088115,1.49944,0.432310305,0.258453942,0.10541404,2.129526291,0.40804472,2.111342617,0,24.45212081,-2.13647,0
0.689766357,38.0348128,0.102693502,1.34585,0.549766655,0.105160261,0.430650045,1.436814633,0.0799852,0.535119243,0,39.30009355,2.00E+07,0
0.859785681,18.20336439,0.013434501,0.76334,0.559998044,0.086174483,0.325839695,2.791886372,0.089512144,0.492699683,0.000711047,32.61149436,2.00E+07,1
0.815151351,23.51456154,0.065864002,0.840251,0.551949352,0.082103705,0.278883101,2.725508655,0.105311578,1.010014997,0,27.16865159,2.00E+07,0.8
0.057102651,3.336263056,0.008978,1.46749,0.543627822,0.149086614,0.490123429,1.666046048,0.026295098,0.160173472,0,44.01027378,2.00E+07,1
0.775443825,36.55372705,0.134776505,1.47753,0.556178326,0.08316478,0.358896088,1.464821474,0.063532814,1.091295105,0,41.29456182,2.00E+07,1
0.590884664,52.27007237,0.040785501,0.847695,0.522073695,0.083040389,0.236408234,2.514821819,0.119513926,0.59862613,0,31.74088302,2.00E+07,0.1
0.671057376,42.79966307,0.056701502,0.765679,0.517708302,0.074609132,0.344732351,1.166256177,0.102811937,2.522354072,0,32.79181833,2.00E+07,0
0.82559705,71.5374561,0.086890503,1.06303,0.490697434,0.113008927,0.405130188,1.92640956,0.077640733,0.75075935,0,42.19384913,2.00E+07,0.9
0.898960517,313.3986432,0.117134003,0.775758,0.278157372,0.065788997,0.145992943,1.505869837,0.201289115,11.50631151,0,16.73216805,-2.16517,0.4
0.832829484,134.6711166,0.0006125,1.06812,0.428627005,0.033756733,0.314860098,1.46076449,0.155393167,1.330862114,0,19.46107642,2.00E+07,1
