PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality,Succ_Rate
0.821202777,0.000266155,0.0055685,0.985182,0.758001955,0.000168747,9.21E-05,1.106490761,1.67E-05,0.000425,-2.00E+05,25.5298,2.00E+07,0.1
0.880667116,0.000249372,0.0045245,0.83011,0.718319322,0.000177389,9.99E-05,1.135659388,3.88E-05,0.000778,-2.00E+05,29.9223,2.00E+07,1
0.680294733,0.000133044,0.0132335,0.739067,0.74463294,0.000177777,0.000109363,1.414315279,1.21E-05,0.005,0.0184,21.8576,-1.98776,0.4
0.505963304,0.000112581,0.036513501,0.97911,0.784103366,0.000186889,0.000107023,1.279253731,6.30E-06,0.00102,-2.00E+05,18.3316,2.00E+07,1
0.573206411,0.000163426,0.0043415,1.01491,0.727868619,0.000171556,9.27E-05,1.334724149,5.52E-05,0.00156,-2.00E+05,24.5315,2.00E+07,0
0.644140353,0.000396544,0.011958001,0.978225,0.721290214,0.000174992,0.000107937,1.341426945,2.69E-05,0.000527,-2.00E+05,26.693,2.00E+07,1
0.743873925,0.000389028,0.0026585,1.06489,0.706435753,0.000158782,8.84E-05,1.167985492,7.02E-05,0.000582,-2.00E+05,26.4274,2.00E+07,1
0.734309611,0.000444585,0.0047285,1.16446,0.677151243,0.00015769,9.28E-05,1.41524193,8.16E-05,0.000887,-2.00E+05,29.8623,2.00E+07,0.6
0.665745933,7.97E-05,0.0010935,1.42312,0.79068177,0.000181264,0.000102789,1.05157342,1.37E-05,0.0011,-2.00E+05,25.5442,2.00E+07,1
0.643825299,1.26E-05,0.035433501,1.19704,0.805536232,0.000174075,9.23E-05,0.990800276,1.20E-05,0.00075,-2.00E+05,22.8045,2.00E+07,0
0.70374804,0.000202392,0.0100365,0.75287,0.749938104,0.000171244,8.62E-05,1.557077747,5.05E-05,0.000295,-2.00E+05,23.9541,2.00E+07,1
