PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality,Succ_Rate
0.750421936,0.000262611,0.269398509,0.0369,0.508659207,0.000112479,0.000132312,1.632670898,3.27E-05,0.00146,-2.00E+05,29.7775,2.00E+07,1
0.917216513,0.000354866,0.0028805,0.1723,0.798533414,0.000119666,0.000151201,1.56671973,8.34E-05,0.000547,0.0243,25.6615,-2.4489,1
0.946953255,0.000315705,0.0118265,0.0346,0.779010408,0.000132301,0.000144165,1.595150629,7.33E-05,0.000492,0.0191,22.8923,-1.92967,1
0.830758852,0.00014849,0.100278503,2.22E-16,0.827393511,0.000138926,0.000141042,1.480212053,2.76E-05,0.000299,-2.00E+05,40.2642,2.00E+07,0
0.819843871,0.000258531,0.042624002,0.1769,0.749301484,0.000148235,0.000177382,1.710623314,3.29E-05,0.00044,-2.00E+05,48.3471,2.00E+07,1
0.844953695,0.000244051,0.088381502,1.344,0.869622623,0.000142881,0.000146517,3.056634955,5.43E-05,0.000235,5.07E-19,29.1344,-0.00705866,1
0.942016149,8.84E-05,0.046468501,0.263,0.827605718,0.000123589,0.000155702,1.644083333,6.67E-05,0.000511,0.023,34.844,-2.31237,1
0.70987459,0.0001737,0.150273505,1.5534,0.865590698,0.000154856,0.000156981,2.442710905,6.51E-05,0.000653,-2.00E+05,47.8631,2.00E+07,0.9
0.882796629,9.31E-05,0.002502,0,0.802140926,0.00010488,0.000144473,1.562246231,4.97E-05,0.000251,0.015,23.2301,-1.50284,1
0.876194294,0.000383651,0.0103005,0.282546,0.779859233,0.00013177,0.000144969,1.367955666,8.75E-05,0.000564,0.04,24.7944,-4.01728,1
0,0,0.31214851,4.44E-16,0.679273308,0.000143147,0.000209094,1.440836986,1.92E-05,0.00267,-2.00E+05,30.1029,2.00E+07,1
0.697115662,0.000236953,0.0075035,2.22E-16,0.790257357,0.000139381,0.000145512,1.379009557,5.74E-05,0.000241,0.00248,23.172,-0.254787,1
0,0,0.354279509,0,0.317461066,0.000170796,0.000200574,1.562540009,6.73E-05,0.0142,0.0379,27.8345,-4.21483,1
0.921566272,0.00031795,0.026418501,0.1056,0.760336227,0.000135182,0.000164581,1.654873792,6.11E-05,0.000578,-2.00E+05,34.2538,2.00E+07,1
0.932317408,0.000305445,0.0003965,0.1162,0.789832944,0.000132153,0.000157654,1.567225976,7.64E-05,0.000558,0.0347,28.265,-3.48284,1
0.839564036,0.000234565,0.140702004,2.22E-16,0.734447022,0.000118935,0.000148262,1.725986888,4.00E-06,0.000287,-2.00E+05,26.0578,2.00E+07,1
0.944212716,0.000305735,0.023481501,0.0932,0.816358768,0.000110926,0.00014472,1.558478222,7.33E-05,0.000509,0.0143,23.608,-1.44939,1
0,0,0.066681502,0.09999,0.384942762,0.000112338,0.00020058,1.475484882,5.07E-05,0.0268,0.129,36.528,-13.7363,0.6
0.856817581,0.000297234,0.0011285,0.0695,0.789196324,0.000128499,0.000153323,1.582552883,7.21E-05,0.000522,0.0311,26.4884,-3.12912,1
0.875323981,0.000236235,0.0010545,0,0.797684588,0.000107973,0.000142738,1.622633008,5.48E-05,0.000251,0.0115,22.5869,-1.15503,1
0.80354619,0.000106177,0.086518503,0,0.758850781,0.000116175,0.000159085,1.546190691,7.24E-05,0.000254,0.00324,27.4659,-0.331775,1
0.869591691,0.000369851,0.000114,0.3,0.786225431,0.00013242,0.000141125,1.555096268,8.64E-05,0.000627,0.0406,23.6834,-4.07999,1
0.89975637,0.000334462,6.20E-05,0.19415,0.790469563,0.000128638,0.000152112,1.555104531,5.83E-05,0.000607,0.0391,24.7376,-3.93055,1
0,0,0.987264532,0.2,0.659325888,0.000161294,0.000239658,1.563286643,1.43E-06,0.00978,-2.00E+05,30.8676,2.00E+07,1
0.885902766,0.000306774,0.0039195,0,0.804687406,0.000118885,0.000147164,1.563410238,7.12E-05,0.000278,0.013,23.4929,-1.30444,1
0,0,0.012554,0.04,0.368178441,0.00013138,0.00020058,1.579216426,6.80E-05,0.0336,0.0704,35.1637,-8.04888,0.7
0.915575127,0.000350703,0.028459501,0.159,0.765216979,0.000119122,0.00015861,1.555137675,5.55E-05,0.000635,0.0141,23.1586,-1.42484,1
0.852880824,0.000328241,0.0152435,0.4617,0.795562522,0.000133782,0.000144307,1.135392392,7.50E-05,0.000375,0.00659,28.9527,-0.670563,1
0.731260282,4.47E-05,5.15E-05,0.0899,0.505688315,0.000103407,0.000167869,1.563349681,4.83E-05,0.00272,0.0492,49.8382,-4.99757,0.9
0.79339507,5.33E-05,0.033981501,0,0.520542776,0.000117968,0.0001682,1.765114439,4.18E-05,0.00128,0.0147,32.7342,-1.50805,1
0.679891075,1.65E-05,0.537660518,0.49626,0.708982231,0.000128661,0.000143717,1.631831403,2.92E-05,0.00185,-2.00E+05,35.3516,2.00E+07,1
0.592172433,4.29E-06,0.070312503,2.22E-16,0.4698254,0.000133585,0.00016797,1.571283054,2.96E-05,0.00218,0.0411,38.0016,-4.17472,1
0.586216154,0.000225584,0.029433501,0,0.586539027,0.000109608,0.000143042,1.485490155,2.79E-05,0.00135,-2.00E+05,63.7301,2.00E+07,0.2
0.563596599,8.94E-05,0.046525501,0.06424,0.464732442,0.000143944,0.000132522,1.743799739,5.51E-05,0.00205,0.0207,35.7954,-2.13313,0.5
0.719160981,4.13E-05,0.000824,0.0793,0.519269536,0.000134388,0.000168685,1.560833973,4.19E-05,0.00245,0.0158,35.6673,-1.65599,1
0.834732938,4.90E-05,0.037956501,0.1566,0.426747461,0.000134699,0.000168685,1.619235906,3.10E-05,0.0265,0.0781,34.1973,-8.6092,1
0.812479608,2.51E-05,0.0054605,0.161,0.492955919,0.000125471,0.000168018,1.56577727,7.99E-05,0.00473,0.0692,36.9027,-7.05896,1
0.736015456,2.73E-05,0.0017055,0,0.509295826,0.000122998,0.000168685,1.626173945,2.57E-05,0.00126,0.0112,35.3177,-1.15449,1
0,0,0.266905508,0,0.513752165,0.000151105,0.000247967,1.563356357,4.23E-05,0.017,0.00326,33.7022,-0.836567,1
0.686452428,2.77E-05,0.030248001,0.007,0.453485492,0.000105879,0.000133296,1.531934901,1.57E-05,0.0206,0.021,37.7141,-2.71388,1
0,0,0.588955515,0.077,0.49974653,0.000127064,0.000247967,1.806719653,2.81E-05,0.0195,-2.00E+05,30.5132,2.00E+07,0.9
0,0.002789789,0.496401516,1.25476,0.503778455,0.000172963,0.000264624,3.141588942,5.01E-07,0.00746,-2.00E+05,33.8195,2.00E+07,1
0.873435598,0.00022071,0.0178395,0,0.812963462,0.00012731,0.000154565,1.646169008,5.43E-05,0.000253,0.00503,27.3082,-0.510375,1
0,0,0.0022595,0,0.307062942,0.000295,0.0006,1.603899169,0,0.0326,0.0887,32.5352,-9.84674,1
0.435543734,0.000224369,0.774609523,0.17619,0.547280806,0.000130704,0.000132312,1.198391483,4.60E-05,0.00125,-2.00E+05,35.9174,2.00E+07,0
0.781186471,3.06E-05,0.0115625,1.42516,0.619643256,0.000127896,0.000150291,3.141589687,5.25E-05,0.00341,0.0523,32.1371,-5.33205,1
0.819614202,0.00020172,0.001458,0,0.802140926,0.000113395,0.000168654,1.563724408,4.92E-05,0.000736,0.0381,33.0636,-3.8298,1
0.883124842,0.000238779,0.001778,0,0.788347497,0.00012655,0.000120068,1.606213776,9.21E-05,0.000242,0.0133,41.9474,-1.34056,0.9
0,0,6.16E-33,3.159045946,2.36E-17,0.000295,0.0006,1.662278182,0,0.000745,-2.00E+05,30.2476,2.00E+07,1
0,0.001971032,0.702315522,0.5099,0.514600992,0.000208778,0.000299323,1.244131058,7.93E-17,0.0229,0.062,32.4095,-6.89118,0
0.770788306,0.000215511,0.104469504,0,0.838003841,0.000112073,0.000152533,1.507805296,2.71E-05,0.000298,-2.00E+05,24.1527,2.00E+07,1
0.830578978,0.000438597,0.395886513,1.6318,0.777100548,0.000126485,0.000174287,2.747626608,0.000104041,0.000791,-2.00E+05,41.1711,2.00E+07,0.8
0,0,0.36291351,0.07923,0.340803791,0.000117684,0.000200401,1.594556486,5.63E-05,0.0215,0.0572,27.1702,-6.36902,1
0.760868037,0.000195075,0.0008435,0.05215,0.496987844,0.000150564,0.000132353,1.639518424,3.47E-05,0.00177,0.0153,57.8923,-1.58543,1
0.558513139,3.76E-05,0.235098507,0,0.572745598,0.000146367,0.000132203,1.555878406,6.71E-05,0.00087,0.0137,43.0645,-1.39268,1
0.820907162,3.83E-05,0.048090502,0.04768,0.379637598,0.000133164,0.000133236,1.777967883,1.73E-05,0.0301,0.0471,33.14,-5.61071,1
0.599528254,2.72E-05,0.014208001,0,0.492107092,0.000119406,0.000133295,1.539093942,2.72E-05,0.000631,-2.00E+05,34.9544,2.00E+07,1
0.731992824,2.71E-05,0.037674501,0,0.401494876,0.000127989,0.000168685,1.618767687,1.46E-05,0.0245,0.083,34.6494,-9.03836,1
0,0.001971025,0.440239514,0.377,0.481284556,0.000208778,0.00028545,1.24474798,2.99E-06,0.0232,0.0755,34.9719,-8.24015,1
0,0,0.467479512,0,0.304940876,0.000112846,0.000200378,1.555298672,0.000130333,0.0125,0.0874,30.1444,-9.1163,0.9
0.519900972,5.78E-05,0.002462,9.73E-14,0.501444183,0.000138849,0.000132901,1.397839527,2.39E-05,0.00102,0.00359,32.4919,-0.389295,1
0.883892618,0.000209338,0.0238695,3.49E-14,0.786862052,0.000115884,0.00016709,1.694915432,3.54E-05,0.000319,-2.00E+05,31.3322,2.00E+07,0
0.885971652,2.43E-05,0.0231995,1.357,0.594178464,0.000119898,0.000149138,3.141589687,6.93E-05,0.00422,0.0624,34.3933,-6.36717,0.9
0.72951667,2.96E-05,0.0009965,0.000976563,0.505051695,0.000122945,0.000168685,1.615473702,6.34E-07,0.00146,-2.00E+05,78.9409,2.00E+07,0
0.747681282,0.000248703,0.102405502,0.00365,0.719804768,0.000204062,0.00016686,1.617324458,4.17E-05,6.17E-05,-2.00E+05,22.9903,2.00E+07,1
0.76515357,0.000454299,0.006432,0.3956,0.745481765,0.000169054,0.000169603,1.613116922,0.000164411,0.000187,0.0235,24.4451,-2.35922,1
0,0,1.68712104,0.034589,0.835926304,0.000295,0.0006,1.293095903,0,0.000313,-2.00E+05,45.9967,2.00E+07,0
0,0,0.876967384,0.13366,0.874048096,0.000295,0.0006,1.421097751,0,0,-1.00E+05,77.2383,1.00E+07,0
0.902653956,0.000235914,0.011965501,0,0.788135291,0.0001646,0.000167409,1.577627275,8.59E-05,5.53E-05,0.00865,26.7942,-0.866772,1
0.858603564,0.000417854,0.047816002,0.3154,0.785801019,0.000213847,0.000133043,1.732824851,9.92E-05,0.000137,0.000624,23.1682,-0.0665299,1
0.844563114,0.000369008,0.000312,0.263,0.769036697,0.000171455,0.000200715,1.580527752,0.000140363,0.000146,0.0205,40.7455,-2.05701,1
0.82099419,8.92E-05,0.0117375,0.8027,0.785588812,0.000215955,0.000197616,1.478427581,6.94E-05,9.22E-05,-2.00E+05,42.0508,2.00E+07,1
0.885415567,7.92E-05,0.097461502,0,0.818905247,0.000195391,0.00014123,1.447504324,5.94E-05,5.83E-05,-2.00E+05,26.2074,2.00E+07,1
0.809387118,0.000402194,0.0060635,0.2808,0.767551252,0.000173466,0.000165525,1.702692903,0.000143102,0.000149,0.0168,23.6061,-1.68419,1
0.648076494,0.000219901,0.0230885,0,0.774978482,0.00017303,0.000196461,1.397207025,6.72E-05,5.80E-05,-2.00E+05,36.2996,2.00E+07,1
0.857643773,0.000638576,0.097359503,0.383,0.215389694,0.000147629,0.000124945,1.56998296,0.000299903,0.0034,0.008,37.6262,-0.902206,1
0.942103697,0.000408002,0.0021345,0.1327,0.760124021,0.000182712,0.000113275,1.551514474,0.000163819,0.000126,0.00968,33.9034,-0.971439,0.5
0,0,0.620303261,0,0.833299611,0.000295,0.0006,1.131829095,0,0,-1.00E+05,107.388,1.00E+07,0.9
0.842317305,0.00037908,0.0012065,0.20289,0.764155946,0.000175854,0.000164069,1.627340283,0.000136419,0.000139,0.0206,22.5842,-2.06676,1
0.897533584,0.000271401,0.0071705,2.22E-16,0.786649845,0.000174196,0.000122235,1.583786918,0.000125896,5.57E-05,0.00563,26.3685,-0.564992,1
0,0,1.34819314,0,0.606879763,0.000295,0.0006,1.624323329,0,0,-1.00E+05,82.7747,1.00E+07,0
0.798323871,0.000270772,0.001176,0,0.779859234,0.000178572,0.00013689,1.555100892,8.48E-05,5.54E-05,0.00934,21.896,-0.935848,1
0.794443393,0.000443241,0.011046501,0.3,0.747603831,0.000172537,0.000164586,1.603907727,0.0001561,0.00017,0.0187,22.8849,-1.87338,1
