PointArng,TriangleSize,Extension,Spread,Limit,PerpSym,ParallelSym,OrthoNorm,Volume,GraspIt_Volume,GraspIt_Epsilon,Energy,Turk_SuccRate,Pysical_Test,Turk_LikeRate,Turk_SuccCnt,Turk_SuccStderr,Turk_LikeCnt,Turk_LikeStderr
0.718080497,67.29240884,0.246358508,0.0369,0.323721159,0.186478422,0.027783309,1.572903777,0.181304917,8.701684029,0.006029788,13.58783465,0.865384615,1,0.846153846,13,0.165056323,13,0.375533808
0.864875302,49.0660727,0.0031115,0.1723,0.513752165,0.118004276,0.020644229,1.853665876,0.244355244,0.315035316,0.002011192,19.72476465,0.736842105,1,0.947368421,19,0.155315186,19,0.229415734
0.914442048,43.74145219,0.0121355,0.0346,0.500655986,0.165937785,0.219205649,1.750425907,0.212974289,4.304061713,0.002084881,17.96161944,0.691176471,1,0.705882353,17,0.242535625,17,0.469668218
0.757383831,32.79265982,0.103774503,6.66E-16,0.532441502,0.134650924,0.189005518,2.951006703,0.084357309,0.21895623,0,33.64882872,0.522727273,0,0.727272727,11,0.305256971,11,0.467099366
0.790337554,45.19975807,0.047289502,0.1769,0.480602463,0.199224368,0.312023474,1.562338852,0.080650388,0.239604125,0,41.29535797,0.267857143,1,0.071428571,14,0.267902926,14,0.267261242
0.90547232,27.87340878,0.089258002,1.344,0.558770278,0.086522685,0.296842632,1.650709315,0.204680594,2.470140796,5.78E-05,23.23917256,0.541666667,1,0.166666667,6,0.24579802,6,0.40824829
0.896690242,42.87565368,0.044958501,0.263,0.531486573,0.123880123,0.017768775,2.994503414,0.153313379,0.361504082,0.002116386,32.69298445,0.65,1,0.7,10,0.268741925,10,0.483045892
0.852634182,29.77488885,0.151615505,1.5534,0.551267259,0.086899237,0.369446454,2.269678075,0.083899947,0.588105454,0,39.12139019,0.33,0.9,0.28,25,0.303795436,25,0.458257569
0.850607217,33.8186929,0.002502,0,0.515662024,0.123681063,0.186730471,3.132990384,0.202340399,0.169473642,0.001666789,17.92848585,0.597222222,1,0.666666667,18,0.229110956,18,0.48507125
0.813006932,54.047783,0.0105245,0.282546,0.50120166,0.12772298,0.126935053,1.7075231,0.24465464,1.212455004,0.004130467,19.18263942,0.691176471,1,0.823529412,17,0.225856214,17,0.392952624
0,0,0.392773512,0,0.42071473,0.193038163,0.199106701,1.763284405,0.13707227,0.451912749,0,31.92195305,0.597222222,1,0.888888889,18,0.298758324,18,0.323380833
0.751908914,34.46858021,0.0083315,0,0.508431842,0.126916699,0.209807747,1.484838676,0.190374304,0.216810936,5.60E-06,17.6437534,0.642857143,1,0.5,14,0.254087464,14,0.518874522
0,0,0.428793514,0,0.185665612,0.166848789,0.196084491,1.325688221,0.17996421,3.466262803,0,22.087609,0.634615385,1,0.769230769,13,0.219264505,13,0.43852901
0.883975333,50.82617693,0.029346001,0.1056,0.487832645,0.142369554,0.167210384,1.584417757,0.148641044,0.402221943,0,26.76970452,0.666666667,1,0.777777778,18,0.226871303,18,0.427792632
0.881616382,46.75790672,0.0003185,0.1162,0.508159005,0.123110157,0.154976209,1.460891444,0.174294603,0.431920734,0.003260546,21.64182174,0.615384615,1,0.769230769,13,0.316481052,13,0.43852901
0.773357972,30.72449219,0.145270504,2.22E-16,0.471871677,0.117885329,0.016037074,1.576869212,0.177394752,0.284421358,0,27.01329821,0.545454545,1,0.636363636,11,0.269679945,11,0.504524979
0.917862307,43.81942764,0.024576501,0.0932,0.524938484,0.128527034,0.097930674,1.530564547,0.207609757,0.277212816,6.95E-05,18.36008071,0.778846154,1,0.884615385,26,0.16320115,26,0.325812594
0,0,0.074719503,0.09999,0.218542477,0.176920691,0.135904546,1.574968967,0.399851811,8.077116339,0,22.22831942,0.714285714,0.6,0.785714286,14,0.165748386,14,0.425815314
0.901442438,45.13411941,0.0012065,0.0695,0.507340494,0.118146964,0.097517659,1.531375073,0.18379687,0.324922226,0.003117504,20.73484641,0.590909091,1,0.636363636,11,0.301511345,11,0.504524979
0.841879766,34.0304249,0.0011765,0,0.512933654,0.134107836,0.132545222,1.640511635,0.21992389,0.195564338,0.001533857,17.57506891,0.775,1,0.8,10,0.248607232,10,0.421637021
0.854319687,29.65458071,0.085689503,0,0.487969064,0.129471781,0.062775952,3.071722912,0.182416767,0.246242153,0.000185675,25.4578896,0.71875,1,1,8,0.160217486,8,0
0.82192941,54.0205063,0.000134,0.3,0.505567053,0.139487117,0.14187926,1.551465785,0.318793474,0.39694656,0.003501534,17.96557178,0.75,1,0.866666667,15,0.231455025,15,0.351865775
0.847427018,50.58234926,5.55E-05,0.19415,0.508295424,0.12145609,0.106650767,1.608177865,0.264874994,0.35314674,0.003456857,19.52409376,0.692307692,1,0.692307692,13,0.291437639,13,0.480384461
0,0,1.147240534,0.2,0.431764631,0.14304549,0.281533555,1.567981189,0.211375454,0.969520392,0,28.44024278,0.446428571,1,0.357142857,14,0.26272557,14,0.497245158
0.861263567,33.63631187,0.0042815,0,0.517571884,0.121755738,0.05052258,1.75195755,0.194416531,0.253627274,0.001642139,18.40747184,0.727272727,1,1,11,0.284045451,11,0
0,0,0.0150795,0.04,0.204218532,0.250000028,0.077177221,1.699945965,0.333847471,5.769832492,0,23.40606372,0.729166667,0.7,0.666666667,12,0.198240365,12,0.492365964
