Strong crowdsource testing points:
Index,x,y,accuracy,groundtruth
24,9.672235,-1.462226,0.500000,1.0
62,-2.067453,0.084239,1.000000,0.0
123,2.595375,1.126439,1.000000,1.0
126,2.693456,1.359492,0.800000,1.0
129,2.297707,1.184352,1.000000,1.0
135,2.245921,1.147705,1.000000,1.0
146,0.146317,0.720410,0.909091,1.0
149,2.451294,1.177507,0.888889,1.0
151,0.055099,0.673459,1.000000,1.0
153,3.915725,0.902976,0.500000,1.0
158,2.706905,1.228148,0.727273,1.0
160,4.647547,1.088274,0.555556,1.0
167,3.077299,1.111633,0.900000,1.0
168,2.678183,1.056767,1.000000,1.0
169,2.775255,1.361588,0.714286,1.0
174,2.417766,1.185630,1.000000,1.0
300,7.737861,-1.052725,0.666667,0.9
329,9.041189,-0.619340,0.666667,1.0
344,8.070446,-0.870255,0.714286,1.0
376,-3.065506,0.232681,1.000000,0.7
446,-2.901233,0.183538,1.000000,0.2
462,2.170150,1.155037,0.888889,1.0
481,2.320692,1.242810,0.583333,1.0
484,2.508898,1.157211,0.833333,1.0
500,0.376684,0.569453,0.909091,1.0
504,3.018765,1.291666,0.500000,1.0
510,2.919662,0.994652,1.000000,1.0
514,-1.071408,0.085013,0.571429,1.0
Strong physical testing points:
Index,x,y,accuracy,groundtruth
12,-2.293317,0.471470,0.571429,1.0
17,-2.479531,0.382189,0.909091,1.0
20,-3.201452,0.011960,0.571429,1.0
25,-3.143336,-0.104648,0.666667,1.0
27,-3.030432,0.479519,0.600000,1.0
28,-2.443255,0.834244,0.714286,1.0
43,-2.425918,0.063496,0.615385,1.0
293,-4.089305,1.285438,0.571429,1.0
294,-4.013222,0.405166,0.800000,1.0
301,-1.975174,0.881355,0.500000,1.0
317,-2.190087,0.655347,0.857143,1.0
318,-2.127530,0.533137,0.714286,0.8
320,-2.550006,0.428931,0.500000,0.8
328,-2.806933,0.111991,0.846154,1.0
333,-3.343849,0.672384,0.769231,1.0
346,-1.770698,0.788257,0.500000,0.0
350,-3.643268,0.947197,0.800000,1.0
357,-2.912587,0.901251,0.875000,1.0
365,-3.463972,0.948918,0.818182,1.0
366,-4.521190,2.840192,0.900000,1.0
378,-3.211733,1.252944,0.916667,1.0
383,-2.970195,0.653686,1.000000,1.0
385,-2.450472,0.506455,1.000000,1.0
388,-3.069271,0.494800,0.800000,1.0
395,-2.648824,0.567353,0.909091,1.0
396,-3.081981,0.524009,0.769231,1.0
403,-3.921186,0.005316,0.636364,1.0
404,-4.140798,0.835768,0.571429,1.0
405,-3.166953,0.574325,0.500000,1.0
411,-2.013592,0.536540,1.000000,1.0
412,-2.543304,0.903429,0.875000,1.0
415,-2.674216,0.068917,0.750000,0.8
421,-3.398990,1.093745,0.571429,1.0
425,-2.008016,0.553759,0.636364,1.0
428,-2.943575,0.541144,0.818182,0.9
435,-2.428252,0.433520,0.857143,1.0
439,-2.499820,0.250352,0.909091,1.0
447,-2.676051,0.753923,0.833333,1.0
453,-2.353943,0.427756,0.909091,1.0
473,1.871412,1.394001,0.500000,1.0
