Strong crowdsource points for fprCutoff 0.100000:
Index,x,y,accuracy,groundtruth
62,-2.067453,0.084239,0.916667,0.0
123,2.595375,1.126439,1.000000,1.0
126,2.693456,1.359492,1.000000,1.0
127,3.797409,0.947626,0.636364,1.0
149,2.451294,1.177507,1.000000,1.0
153,3.915725,0.902976,0.700000,1.0
158,2.706905,1.228148,1.000000,1.0
160,4.647547,1.088274,1.000000,1.0
167,3.077299,1.111633,1.000000,1.0
168,2.678183,1.056767,1.000000,1.0
169,2.775255,1.361588,1.000000,1.0
170,5.578330,1.237508,0.666667,1.0
174,2.417766,1.185630,1.000000,1.0
300,7.737861,-1.052725,1.000000,0.9
322,6.869975,-0.433773,0.500000,1.0
329,9.041189,-0.619340,1.000000,1.0
332,-1.883893,0.799833,0.500000,0.3
340,7.735746,-0.909030,0.666667,1.0
360,-1.438124,-0.204276,1.000000,0.0
376,-3.065506,0.232681,1.000000,0.7
390,-5.161458,-0.102999,1.000000,0.4
406,6.383922,-0.455122,0.700000,1.0
420,8.833644,-1.865332,0.857143,1.0
446,-2.901233,0.183538,1.000000,0.2
467,3.084952,1.176687,0.666667,1.0
472,-0.767383,0.243759,0.555556,1.0
484,2.508898,1.157211,1.000000,1.0
486,5.665826,1.708404,0.555556,1.0
492,1.619269,1.009662,0.714286,1.0
495,2.562888,1.396356,0.500000,1.0
504,3.018765,1.291666,0.642857,1.0
510,2.919662,0.994652,1.000000,1.0
Strong physical testing points:
Index,x,y,accuracy,groundtruth
2,-3.708873,-0.059371,0.500000,1.0
3,-3.726806,-0.225761,0.500000,1.0
6,-3.481761,2.291916,0.500000,1.0
12,-2.293317,0.471470,0.857143,1.0
14,-2.193239,0.061750,0.714286,1.0
16,-2.347702,0.335206,0.777778,1.0
17,-2.479531,0.382189,1.000000,1.0
20,-3.201452,0.011960,0.857143,1.0
25,-3.143336,-0.104648,0.888889,1.0
27,-3.030432,0.479519,0.900000,1.0
28,-2.443255,0.834244,1.000000,1.0
43,-2.425918,0.063496,1.000000,1.0
47,-3.992111,-0.229551,0.500000,1.0
89,-2.276990,-0.232138,0.769231,1.0
108,-1.601553,0.006368,0.800000,1.0
114,-2.803433,-0.430270,0.600000,1.0
213,-5.715022,-8.537026,0.545455,0.5
280,6.986352,2.410313,1.000000,0.0
293,-4.089305,1.285438,0.857143,1.0
315,-2.574268,0.123767,0.500000,1.0
318,-2.127530,0.533137,0.714286,0.8
319,-2.475644,0.076269,0.666667,0.9
320,-2.550006,0.428931,0.625000,0.8
328,-2.806933,0.111991,1.000000,1.0
350,-3.643268,0.947197,1.000000,1.0
352,-2.689065,2.052885,0.571429,1.0
365,-3.463972,0.948918,0.909091,1.0
366,-4.521190,2.840192,1.000000,1.0
370,-5.511029,4.450785,0.812500,1.0
377,-3.953201,-0.615002,0.500000,1.0
385,-2.450472,0.506455,1.000000,1.0
388,-3.069271,0.494800,1.000000,1.0
395,-2.648824,0.567353,1.000000,1.0
396,-3.081981,0.524009,0.846154,1.0
397,-3.447218,-0.516021,0.500000,1.0
403,-3.921186,0.005316,1.000000,1.0
404,-4.140798,0.835768,0.714286,1.0
405,-3.166953,0.574325,0.500000,1.0
415,-2.674216,0.068917,1.000000,0.8
421,-3.398990,1.093745,0.857143,1.0
425,-2.008016,0.553759,0.818182,1.0
428,-2.943575,0.541144,0.909091,0.9
429,-2.060237,0.368479,0.666667,1.0
433,-2.576607,0.225784,0.571429,1.0
434,-2.208312,0.095635,1.000000,1.0
439,-2.499820,0.250352,1.000000,1.0
448,-1.684567,-0.386462,0.500000,1.0
451,-2.669951,0.717140,0.818182,1.0
454,-2.404780,0.145705,0.800000,1.0
473,1.871412,1.394001,0.666667,1.0
480,2.315437,1.295048,0.571429,1.0
490,6.708745,1.328129,1.000000,0.7
493,6.564542,1.595606,1.000000,0.0
496,2.595267,1.433922,0.700000,0.0
