Strong crowdsource points for FPR=.15:
Index,x,y,accuracy,groundtruth
62,-2.067453,0.084239,0.833333,0.0
78,5.494342,1.522163,0.857143,0.9
123,2.595375,1.126439,1.000000,1.0
124,3.841998,0.929219,0.600000,1.0
126,2.693456,1.359492,1.000000,1.0
127,3.797409,0.947626,0.727273,1.0
138,-1.061162,0.034020,1.000000,0.0
149,2.451294,1.177507,1.000000,1.0
160,4.647547,1.088274,1.000000,1.0
168,2.678183,1.056767,1.000000,1.0
169,2.775255,1.361588,1.000000,1.0
170,5.578330,1.237508,0.666667,1.0
185,-8.205753,-9.774112,1.000000,0.2
212,-5.727419,-9.423517,0.500000,1.0
289,-0.873009,0.278471,0.923077,0.1
299,-1.789898,-0.020066,0.916667,0.1
310,7.590880,-0.980806,0.555556,1.0
340,7.735746,-0.909030,0.888889,1.0
342,-0.583825,0.394604,0.500000,0.6
360,-1.438124,-0.204276,0.875000,0.0
376,-3.065506,0.232681,1.000000,0.7
390,-5.161458,-0.102999,1.000000,0.4
427,-3.481012,0.532139,1.000000,0.2
431,6.990905,-0.834955,0.777778,1.0
442,5.318021,0.230051,0.666667,1.0
446,-2.901233,0.183538,1.000000,0.2
467,3.084952,1.176687,0.888889,1.0
472,-0.767383,0.243759,0.777778,1.0
486,5.665826,1.708404,0.666667,1.0
495,2.562888,1.396356,0.625000,1.0
504,3.018765,1.291666,0.928571,1.0
Strong physical testing points:
Index,x,y,accuracy,groundtruth
2,-3.708873,-0.059371,0.500000,1.0
3,-3.726806,-0.225761,0.600000,1.0
6,-3.481761,2.291916,0.833333,1.0
12,-2.293317,0.471470,1.000000,1.0
14,-2.193239,0.061750,0.928571,1.0
15,-4.089750,-0.641718,0.545455,1.0
16,-2.347702,0.335206,1.000000,1.0
17,-2.479531,0.382189,1.000000,1.0
20,-3.201452,0.011960,1.000000,1.0
22,-4.726307,-0.169922,0.500000,1.0
25,-3.143336,-0.104648,1.000000,1.0
27,-3.030432,0.479519,0.900000,1.0
28,-2.443255,0.834244,1.000000,1.0
43,-2.425918,0.063496,1.000000,1.0
47,-3.992111,-0.229551,0.600000,1.0
48,-2.713874,-0.276356,0.600000,0.9
69,-1.677773,-0.544049,0.636364,1.0
70,-1.753378,-0.260320,0.625000,1.0
82,-3.044140,-0.420925,0.571429,1.0
86,-6.858338,-7.817430,0.666667,1.0
89,-2.276990,-0.232138,0.846154,1.0
97,-3.363767,-0.762897,0.642857,1.0
108,-1.601553,0.006368,1.000000,1.0
109,-2.522204,-0.279274,0.600000,1.0
114,-2.803433,-0.430270,0.700000,1.0
213,-5.715022,-8.537026,0.545455,0.5
215,5.398626,1.482648,1.000000,0.0
266,8.060461,1.874750,1.000000,0.0
280,6.986352,2.410313,1.000000,0.0
293,-4.089305,1.285438,0.857143,1.0
315,-2.574268,0.123767,0.875000,1.0
319,-2.475644,0.076269,0.777778,0.9
320,-2.550006,0.428931,1.000000,0.8
328,-2.806933,0.111991,1.000000,1.0
341,-2.758297,0.456924,0.583333,1.0
352,-2.689065,2.052885,0.714286,1.0
366,-4.521190,2.840192,1.000000,1.0
370,-5.511029,4.450785,0.875000,1.0
377,-3.953201,-0.615002,0.700000,1.0
388,-3.069271,0.494800,1.000000,1.0
395,-2.648824,0.567353,1.000000,1.0
396,-3.081981,0.524009,0.923077,1.0
397,-3.447218,-0.516021,0.666667,1.0
403,-3.921186,0.005316,1.000000,1.0
404,-4.140798,0.835768,0.857143,1.0
405,-3.166953,0.574325,0.750000,1.0
415,-2.674216,0.068917,1.000000,0.8
421,-3.398990,1.093745,0.857143,1.0
428,-2.943575,0.541144,0.909091,0.9
429,-2.060237,0.368479,1.000000,1.0
433,-2.576607,0.225784,0.857143,1.0
434,-2.208312,0.095635,1.000000,1.0
439,-2.499820,0.250352,1.000000,1.0
440,-4.639560,0.133659,0.600000,1.0
448,-1.684567,-0.386462,0.666667,1.0
451,-2.669951,0.717140,0.909091,1.0
454,-2.404780,0.145705,1.000000,1.0
473,1.871412,1.394001,0.666667,1.0
476,-1.492588,-0.112976,0.555556,1.0
490,6.708745,1.328129,1.000000,0.7
493,6.564542,1.595606,1.000000,0.0
496,2.595267,1.433922,0.700000,0.0
506,-1.745841,-0.489517,0.600000,1.0

