,,,energy_30,,,,energy_40,,,,energy_50,,,,energy_60,,,,,energy_30 (baseline),,,,energy_40 (baseline),,,,energy_50 (baseline),,,,energy_60 (baseline),
BinSize,Confidence,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,
2D
10,0.5,0.5087,0.0901,0.775,0.8006,0.4856,0.0599,0.7633,0.9894,0.452,0.0631,0.7609,0.9954,0.4486,0.0464,0.7607,0.9956,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
10,0.6,0.5559,0.0906,0.7988,0.8142,0.5015,0.0774,0.7738,0.989,0.4618,0.0603,0.769,0.9973,0.4479,0.0587,0.7694,0.9985,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
10,0.7,0.5133,0.1193,0.8201,0.8421,0.5092,0.0728,0.7906,0.9889,0.4538,0.0683,0.7861,0.997,0.4527,0.0738,0.7847,0.9973,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
10,0.8,0.5324,0.1357,0.8601,0.8054,0.4942,0.095,0.8216,0.9801,0.4518,0.0819,0.8199,0.9966,0.4509,0.0933,0.8199,0.9975,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
10,0.9,0.6447,0.1729,0.8724,0.7522,0.5021,0.1606,0.8654,0.9836,0.4218,0.1884,0.8655,0.9908,0.3818,0.1802,0.8655,0.9916,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
15,0.5,0.5278,0.0968,0.7755,0.7637,0.492,0.0569,0.7597,0.9831,0.4634,0.0703,0.7572,0.9957,0.4623,0.0585,0.7559,0.9942,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
15,0.6,0.5547,0.0784,0.7953,0.7611,0.5175,0.0774,0.7732,0.982,0.4828,0.065,0.769,0.9959,0.4631,0.0657,0.7697,0.9978,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
15,0.7,0.5427,0.1373,0.8162,0.7924,0.5143,0.0735,0.7864,0.9848,0.4541,0.0643,0.7829,0.9964,0.4544,0.0728,0.7815,0.9973,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
15,0.8,0.5777,0.142,0.8601,0.7486,0.5,0.107,0.8197,0.9755,0.4713,0.0976,0.8181,0.995,0.4589,0.1097,0.8182,0.9968,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
