,,,energy_30,,,,energy_40,,,,energy_50,,,,energy_60,,,,,energy_30 (baseline),,,,energy_40 (baseline),,,,energy_50 (baseline),,,,energy_60 (baseline),
BinSize,Confidence,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,
30,0.5,0.5859,0.0506,0.7992,0.5544,0.5529,0.0413,0.7723,0.7233,0.5465,0.0363,0.7585,0.8196,0.5486,0.0352,0.7571,0.9054,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
30,0.6,0.5792,0.0514,0.8055,0.5562,0.5654,0.048,0.7946,0.7325,0.5724,0.0491,0.7908,0.8419,0.5752,0.0514,0.7851,0.9179,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
30,0.7,0.6043,0.0499,0.8315,0.543,0.5908,0.0605,0.8132,0.7004,0.5809,0.0604,0.817,0.8221,0.5807,0.0403,0.8083,0.9049,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
30,0.8,0.6206,0.061,0.8624,0.5693,0.6184,0.0638,0.8505,0.7246,0.6178,0.0771,0.8615,0.8439,nan,nan,0.8639,0.909,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
30,0.9,0.6457,0.0915,0.8985,0.5379,0.6507,0.1296,0.9039,0.7008,0.6703,0.1338,0.8992,0.8158,nan,nan,0.9048,0.9111,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
40,0.5,0.577,0.0439,0.7848,0.5384,0.5622,0.0435,0.765,0.7284,0.5496,0.039,0.7571,0.8269,0.5531,0.0394,0.7521,0.9052,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
40,0.6,0.5986,0.0594,0.8136,0.548,0.5825,0.0542,0.7988,0.7367,0.5974,0.058,0.7962,0.8511,0.5868,0.0574,0.786,0.9201,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
40,0.7,0.6042,0.0498,0.8306,0.5365,0.5906,0.0579,0.8156,0.7113,0.6061,0.0538,0.819,0.8287,0.5822,0.0418,0.811,0.9108,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
40,0.8,0.6394,0.075,0.8637,0.5587,0.6161,0.061,0.8597,0.7172,0.6296,0.0916,0.8651,0.853,nan,nan,0.8649,0.914,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
40,0.9,0.651,0.0911,0.8999,0.5319,nan,nan,0.894,0.6926,nan,nan,0.8905,0.8272,nan,nan,0.8924,0.9174,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
50,0.5,0.5842,0.0474,0.784,0.5265,0.5607,0.0411,0.7595,0.7364,0.541,0.0432,0.7507,0.8339,0.5499,0.0355,0.7486,0.9112,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
50,0.6,0.609,0.0623,0.8219,0.5548,0.5798,0.0552,0.7979,0.7458,0.588,0.0625,0.7927,0.8574,0.5822,0.0558,0.786,0.9222,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
50,0.7,0.6087,0.0486,0.8227,0.5325,0.5891,0.0659,0.8116,0.726,0.5985,0.0625,0.8138,0.8375,0.5749,0.043,0.8014,0.9081,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
50,0.8,0.641,0.0728,0.8652,0.5555,0.6261,0.0669,0.8574,0.7248,0.6303,0.0833,0.8576,0.8528,nan,nan,0.8562,0.9094,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
50,0.9,0.6434,0.0961,0.9012,0.5343,nan,nan,0.8991,0.7135,nan,nan,0.885,0.8238,nan,nan,0.8885,0.9091,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
