,,,energy_30,,,,energy_40,,,,energy_50,,,,energy_60,,,,,energy_30 (baseline),,,,energy_40 (baseline),,,,energy_50 (baseline),,,,energy_60 (baseline),
BinSize,Confidence,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,
30,0.5,0.5642,0.062,0.7701,0.5268,0.564,0.0489,0.7467,0.7,0.5595,0.034,0.7427,0.8162,0.5798,0.0335,0.7458,0.9149,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
30,0.6,0.6141,0.052,0.808,0.5546,0.5956,0.0446,0.7714,0.7086,0.6074,0.0525,0.7794,0.8236,0.6106,0.0493,0.7746,0.9181,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
30,0.7,0.6315,0.0593,0.8385,0.5496,0.6307,0.0611,0.8157,0.6844,0.6259,0.0714,0.8166,0.8044,0.6179,0.0654,0.7992,0.8974,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
30,0.8,0.64,0.0712,0.8601,0.5525,0.6605,0.0796,0.8652,0.6806,0.6816,0.0809,0.8609,0.7896,0.6955,0.0698,0.8653,0.8968,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
30,0.9,0.678,0.0709,0.8965,0.5434,nan,nan,0.9107,0.6763,0.7064,0.1099,0.9173,0.7978,0.6983,0.129,0.9045,0.9052,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
40,0.5,0.576,0.0579,0.7753,0.5176,0.5653,0.0481,0.7479,0.721,0.5658,0.0399,0.7473,0.831,0.585,0.0316,0.7471,0.9214,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
40,0.6,0.6171,0.0489,0.8068,0.5254,0.5924,0.0479,0.7682,0.7301,0.6175,0.068,0.7788,0.8367,0.6164,0.0489,0.7695,0.9104,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
40,0.7,0.6167,0.0588,0.8295,0.4956,0.6297,0.0755,0.8178,0.687,0.6443,0.0722,0.8233,0.7963,0.6364,0.0604,0.8055,0.8952,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
40,0.8,0.6713,0.0766,0.8651,0.5427,0.6751,0.0613,0.8664,0.6947,0.6898,0.0749,0.8549,0.8022,0.6995,0.0749,0.8584,0.8922,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
40,0.9,0.6985,0.0712,0.9065,0.5552,0.7279,0.1246,0.9153,0.7243,0.7154,0.1244,0.9117,0.8108,0.6914,0.1412,0.8994,0.9018,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
50,0.5,0.5895,0.044,0.7758,0.5222,0.5585,0.0456,0.7455,0.73,0.5604,0.041,0.7424,0.8347,0.5829,0.0315,0.7431,0.9242,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
50,0.6,0.6226,0.0479,0.8011,0.5178,0.5909,0.0443,0.7587,0.7532,0.5995,0.0565,0.7613,0.8465,0.608,0.0475,0.7577,0.9098,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
50,0.7,0.6217,0.0637,0.8152,0.4932,0.6216,0.0751,0.8096,0.6982,0.6502,0.0681,0.8202,0.801,0.6243,0.0606,0.793,0.8891,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
50,0.8,0.6816,0.0723,0.864,0.5288,0.6708,0.0572,0.8562,0.7104,0.6714,0.0884,0.8441,0.8019,0.6772,0.0799,0.8421,0.8979,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
50,0.9,0.671,0.1356,0.899,0.5343,0.7316,0.1213,0.9126,0.736,0.659,0.1521,0.894,0.8256,0.6462,0.1482,0.8885,0.9052,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
60,0.5,0.5997,0.0431,0.7814,0.5264,0.5567,0.0469,0.7442,0.7486,0.5612,0.0376,0.7386,0.8409,0.5783,0.0293,0.737,0.9222,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
60,0.6,0.6357,0.0692,0.7981,0.5222,0.5945,0.0507,0.7574,0.7662,0.5823,0.0705,0.7502,0.8538,0.6006,0.0563,0.7443,0.9122,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
60,0.7,0.6403,0.0582,0.8179,0.4954,0.6486,0.076,0.8093,0.7245,0.6343,0.0718,0.8033,0.8091,0.626,0.0693,0.7897,0.8939,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
60,0.8,0.6855,0.0574,0.8636,0.5217,0.7031,0.0686,0.8597,0.7261,0.6666,0.113,0.8413,0.8115,0.655,0.0986,0.8383,0.8886,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
60,0.9,0.7426,0.1345,0.9198,0.5647,0.7784,0.125,0.9237,0.7511,0.6573,0.1411,0.8949,0.8387,0.6969,0.1143,0.8983,0.9207,,0.5829,0.0508,0.7409,0.4147,0.5294,0.0504,0.7412,0.8832,0.5229,0.0487,0.7338,0.9483,0.5356,0.0425,0.7341,0.96,
